pts,improve,qtd_vizinhos_validos,tempo_execucao
935.5,True,99,16.91
936.3,True,95,16.52
940.3,True,95,16.13
940.3,False,95,16.7
940.95,True,94,16.61
941.6,True,97,16.33
942.75,True,96,15.45
946.25,True,90,14.74
948.75,True,100,16.17
948.75,False,93,15.13
949.25,True,94,15.08
951.75,True,94,15.12
954.25,True,100,15.97
954.75,True,98,15.8
954.75,False,87,14.07
954.75,False,83,13.45
954.75,False,86,13.74
954.75,False,85,13.78
954.75,False,85,13.8
954.75,False,88,14.26
954.75,False,85,13.76
954.75,False,90,14.94
954.75,False,80,14.77
954.75,False,81,17.08
954.75,False,82,16.31
954.75,False,87,16.38
954.75,False,83,15.2
954.75,False,79,14.54
954.75,False,87,18.57
954.75,False,86,16.99
954.75,False,84,16.49
954.75,False,82,18.21
954.75,False,85,18.93
954.75,False,82,17.2
954.75,False,86,18.91
954.75,False,81,19.0
954.75,False,86,18.46
954.75,False,85,17.51
954.75,False,87,18.37
954.75,False,80,17.34
954.75,False,76,15.16
954.75,False,75,15.18
954.75,False,83,17.97
954.75,False,80,17.33
954.75,False,83,17.53
954.75,False,83,17.4
954.75,False,79,13.86
954.75,False,91,15.9
954.75,False,87,16.1
954.75,False,86,17.26
954.75,False,80,13.94
954.75,False,84,15.31
954.75,False,89,15.65
954.75,False,86,15.81
954.75,False,82,17.66
954.75,False,86,17.02
954.75,False,84,15.72
954.75,False,82,15.16
954.75,False,88,15.76
954.75,False,89,16.18
954.75,False,89,15.7
954.75,False,81,14.14
954.75,False,85,14.92
954.75,False,90,16.74
954.75,False,81,14.18
954.75,False,88,17.2
954.75,False,84,14.47
954.75,False,85,13.96
954.75,False,92,15.16
954.75,False,84,14.81
954.75,False,83,15.16
954.75,False,91,16.68
954.75,False,88,15.41
954.75,False,83,14.59
954.75,False,88,14.52
954.75,False,86,14.1
954.75,False,90,15.98
954.75,False,84,14.53
954.75,False,85,15.89
954.75,False,90,16.03
954.75,False,85,17.68
954.75,False,91,17.94
954.75,False,83,18.87
954.75,False,79,13.82
954.75,False,86,13.64
954.75,False,83,13.18
954.75,False,87,13.61
954.75,False,81,12.79
954.75,False,80,12.43
954.75,False,83,13.13
954.75,False,83,12.82
954.75,False,87,13.69
954.75,False,89,13.89
954.75,False,88,13.88
954.75,False,89,14.23
954.75,False,88,14.18
954.75,False,77,12.61
954.75,False,85,13.84
954.75,False,81,13.3
954.75,False,87,14.67
954.75,False,85,13.89
954.75,False,83,13.2
954.75,False,85,13.49
954.75,False,84,13.26
954.75,False,81,12.9
954.75,False,82,13.2
954.75,False,83,13.39
954.75,False,84,13.47
954.75,False,82,12.68
954.75,False,85,13.15
954.75,False,82,12.7
954.75,False,88,13.64
954.75,False,88,13.89
954.75,False,82,14.41
954.75,False,88,15.52
954.75,False,80,14.04
954.75,False,87,15.16
954.75,False,79,13.9
954.75,False,87,13.97
954.75,False,78,12.32
954.75,False,87,13.75
954.75,False,87,13.74
954.75,False,85,13.4
954.75,False,84,13.9
954.75,False,86,13.94
954.75,False,86,14.24
954.75,False,86,14.25
954.75,False,82,13.84
954.75,False,82,13.96
954.75,False,87,14.27
954.75,False,88,14.81
954.75,False,86,14.68
954.75,False,85,14.45
954.75,False,88,14.38
954.75,False,82,13.46
954.75,False,83,14.96
954.75,False,88,16.01
954.75,False,88,15.35
954.75,False,79,16.29
954.75,False,87,17.7
954.75,False,84,17.38
954.75,False,81,12.96
954.75,False,80,13.26
954.75,False,81,13.33
954.75,False,86,13.58
954.75,False,86,13.85
954.75,False,89,14.74
954.75,False,80,12.83
954.75,False,85,13.4
954.75,False,85,13.09
