pts,improve,qtd_vizinhos_validos,tempo_execucao
934.62,True,84,14.6
934.62,False,63,10.95
938.25,True,62,10.55
938.25,False,25,4.35
945.5,True,23,4.02
945.5,False,25,4.32
945.5,False,23,4.16
945.5,False,20,3.69
945.5,False,21,3.9
945.5,False,26,4.77
945.5,False,20,3.66
949.0,True,21,3.82
949.0,False,11,2.06
949.0,False,14,2.56
949.0,False,13,2.36
949.0,False,15,2.7
949.0,False,14,2.52
949.0,False,11,2.01
949.0,False,7,1.34
949.0,False,9,1.66
949.0,False,10,1.78
949.0,False,10,1.74
949.0,False,12,2.05
949.0,False,12,2.08
949.0,False,11,1.89
949.0,False,16,2.69
949.0,False,11,1.89
949.0,False,10,1.75
949.0,False,7,1.29
949.0,False,6,1.12
949.75,True,15,2.56
949.75,False,3,0.64
949.75,False,5,0.99
949.75,False,5,0.96
949.75,False,3,0.65
949.75,False,3,0.64
949.75,False,3,0.64
949.75,False,4,0.81
949.75,False,6,1.12
949.75,False,3,0.65
949.75,False,3,0.64
949.75,False,4,0.81
949.75,False,3,0.66
949.75,False,4,0.82
949.75,False,5,0.97
949.75,False,11,1.96
949.75,False,5,0.96
949.75,False,7,1.27
949.75,False,5,0.95
949.75,False,2,0.49
949.75,False,4,0.8
949.75,False,6,1.12
949.75,False,5,0.95
949.75,False,2,0.49
949.75,False,3,0.63
949.75,False,1,0.33
949.75,False,5,0.97
949.75,False,5,0.97
949.75,False,6,1.12
949.75,False,3,0.64
949.75,False,4,0.8
949.75,False,5,0.97
949.75,False,6,1.13
949.75,False,1,0.33
949.75,False,3,0.64
949.75,False,3,0.63
949.75,False,5,0.96
949.75,False,4,0.81
949.75,False,7,1.3
949.75,False,6,1.11
949.75,False,4,0.81
949.75,False,6,1.12
949.75,False,7,1.27
949.75,False,4,0.81
949.75,False,5,0.96
949.75,False,3,0.64
949.75,False,9,1.6
949.75,False,3,0.64
949.75,False,3,0.67
949.75,False,10,1.77
949.75,False,2,0.49
949.75,False,7,1.28
949.75,False,2,0.48
949.75,False,3,0.64
949.75,False,5,0.95
949.75,False,5,0.94
949.75,False,8,1.44
949.75,False,5,0.95
949.75,False,5,0.95
949.75,False,3,0.64
949.75,False,6,1.1
949.75,False,4,0.8
949.75,False,3,0.64
949.75,False,8,1.42
949.75,False,3,0.65
949.75,False,4,0.79
949.75,False,4,0.79
949.75,False,4,0.79
949.75,False,4,0.79
949.75,False,7,1.27
949.75,False,5,0.96
949.75,False,6,1.11
949.75,False,7,1.26
949.75,False,1,0.33
949.75,False,4,0.8
949.75,False,5,0.96
949.75,False,6,1.1
949.75,False,5,0.97
949.75,False,2,0.5
949.75,False,8,1.45
949.75,False,7,1.29
949.75,False,8,1.42
949.75,False,5,0.95
949.75,False,6,1.11
949.75,False,3,0.64
949.75,False,4,0.81
949.75,False,6,1.1
949.75,False,6,1.1
949.75,False,6,1.1
949.75,False,3,0.64
949.75,False,7,1.27
949.75,False,5,0.95
949.75,False,2,0.47
949.75,False,1,0.32
949.75,False,2,0.47
949.75,False,7,1.27
949.75,False,5,0.94
949.75,False,2,0.48
949.75,False,4,0.8
949.75,False,6,1.1
949.75,False,5,0.95
949.75,False,5,0.97
949.75,False,9,1.59
949.75,False,6,1.13
949.75,False,7,1.26
949.75,False,6,1.11
949.75,False,6,1.12
949.75,False,5,0.95
949.75,False,3,0.66
949.75,False,7,1.32
949.75,False,2,0.48
949.75,False,3,0.64
949.75,False,3,0.67
949.75,False,1,0.32
949.75,False,4,0.8
949.75,False,4,0.79
949.75,False,7,1.26
949.75,False,4,0.79
949.75,False,3,0.64
949.75,False,1,0.33
949.75,False,5,0.94
949.75,False,5,0.94
949.75,False,7,1.28
949.75,False,6,1.12
949.75,False,5,0.98
949.75,False,3,0.65
949.75,False,6,1.12
949.75,False,7,1.27
949.75,False,3,0.64
949.75,False,6,1.12
949.75,False,4,0.8
949.75,False,3,0.65
949.75,False,5,0.97
949.75,False,4,0.8
949.75,False,4,0.81
949.75,False,6,1.14
949.75,False,6,1.12
949.75,False,5,0.96
949.75,False,3,0.64
949.75,False,5,0.96
949.75,False,2,0.48
949.75,False,7,1.28
949.75,False,3,0.64
949.75,False,3,0.66
949.75,False,6,1.13
