iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,TID,True,0.19657201559918605,0.004370256490900001,7,7,100,81,0.044936,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.099902, 0.1472787, 0.139036, 0.198981, 0.1984073, 0.023119, 0.193276]","[5, 7, 9, 12, 25, 27, 28]"
1,idID,True,0.19564823436658768,0.004361586168,7,7,100,84,0.044762,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.101395, 0.134532, 0.141114, 0.201955, 0.201373, 0.023465, 0.196165]","[5, 7, 9, 12, 25, 27, 28]"
2,idID,True,0.17751742094148254,0.004506827942,7,7,100,73,0.04926,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.116696, 0.154833, 0.23243, 0.011509, 0.23176, 0.027006, 0.225766]","[5, 7, 12, 17, 25, 27, 28]"
3,iDR,True,0.17450339875936247,0.004513306357,7,7,100,100,0.043668,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.114053, 0.151326, 0.227165, 0.011248, 0.249161, 0.026394, 0.220652]","[5, 7, 12, 17, 25, 27, 28]"
4,iDR,True,0.17440031638323805,0.004517958012,7,7,100,100,0.047908,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.114182, 0.151497, 0.227421, 0.010135, 0.249442, 0.026424, 0.220901]","[5, 7, 12, 17, 25, 27, 28]"
5,iDR,True,0.1731575327018762,0.004511304275000001,7,7,100,68,0.04226,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.115938, 0.138444, 0.230919, 0.010291, 0.253279, 0.02683, 0.224299]","[5, 7, 12, 17, 25, 27, 28]"
6,iDR,True,0.17182119906965668,0.004481345964,7,7,100,96,0.040674,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.118598, 0.141621, 0.236217, 0.010527, 0.25909, 0.027446, 0.206501]","[5, 7, 12, 17, 25, 27, 28]"
7,idID,True,0.17157463943489806,0.004481160141,7,7,100,76,0.038158,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.121467, 0.145047, 0.217739, 0.010782, 0.265358, 0.02811, 0.211497]","[5, 7, 12, 17, 25, 27, 28]"
8,TID,True,0.17089709289433894,0.0045143206320000006,7,7,100,85,0.056524,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.10932030000000001, 0.145047, 0.2298857, 0.010782, 0.265358, 0.02811, 0.211497]","[5, 7, 12, 17, 25, 27, 28]"
9,idID,True,0.16963433774878164,0.004507912158,7,7,100,75,0.041916,100,100,0.1,0.004,1,2,15,random,92,random,bench_local,"[0.110929, 0.132464, 0.233269, 0.010941, 0.269264, 0.028524, 0.21461]","[5, 7, 12, 17, 25, 27, 28]"
