iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.2598094205052113,0.2598094205052113,0.0035140352907,[0.04545   0.068173  0.031512  0.066322  0.024231  0.045618  0.031537  0.054681  0.020774  0.0453313 0.016333  0.        0.        0.        0.031169  0.        0.039714  0.        0.02274   0.031802  0.05739   0.0471408 0.059506  0.        0.018804  0.035175  0.04591   0.0306712 0.038268  0.0254937 0.066254 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
1,0.2568581031223375,0.2568581031223375,0.0034905367929000002,[0.04545   0.068173  0.031512  0.066322  0.024231  0.045618  0.031537  0.054681  0.020774  0.0453313 0.016333  0.        0.        0.        0.031169  0.        0.039714  0.        0.02274   0.0222614 0.05739   0.0471408 0.059506  0.        0.018804  0.035175  0.04591   0.0402118 0.038268  0.0254937 0.066254 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
2,0.2531666177522762,0.2531666177522762,0.0035380411329,[0.031815  0.068173  0.031512  0.066322  0.024231  0.045618  0.031537  0.054681  0.020774  0.0453313 0.016333  0.        0.        0.        0.031169  0.        0.039714  0.        0.02274   0.0222614 0.05739   0.0471408 0.059506  0.        0.018804  0.04881   0.04591   0.0402118 0.038268  0.0254937 0.066254 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
3,0.2491956550890092,0.2491956550890092,0.0036350725674000003,[0.031815  0.068173  0.031512  0.066322  0.0406353 0.045618  0.031537  0.0382767 0.020774  0.0453313 0.016333  0.        0.        0.        0.031169  0.        0.039714  0.        0.02274   0.0222614 0.05739   0.0471408 0.059506  0.        0.018804  0.04881   0.04591   0.0402118 0.038268  0.0254937 0.066254 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
4,0.24422300052317852,0.24422300052317852,0.0036711249654000004,[0.031815  0.068173  0.031512  0.066322  0.0406353 0.045618  0.031537  0.0382767 0.020774  0.0453313 0.016333  0.        0.        0.        0.031169  0.        0.039714  0.        0.02274   0.0222614 0.040173  0.0471408 0.059506  0.        0.018804  0.066027  0.04591   0.0402118 0.038268  0.0254937 0.066254 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
5,0.2410068288868035,0.2410068288868035,0.0037150225416,[0.031815  0.068173  0.031512  0.066322  0.0406353 0.045618  0.031537  0.0382767 0.0386258 0.0453313 0.016333  0.        0.        0.        0.031169  0.        0.039714  0.        0.02274   0.0222614 0.040173  0.0471408 0.0416542 0.        0.018804  0.066027  0.04591   0.0402118 0.038268  0.0254937 0.066254 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
6,0.23686899985991494,0.23686899985991494,0.003735966815,[0.031197 0.066849 0.0309   0.065034 0.039846 0.044732 0.030924 0.037533 0.037876 0.044451 0.016016 0.       0.       0.       0.030564 0.       0.038943 0.       0.022298 0.021829 0.039393 0.046225 0.040845 0.       0.018439 0.084168 0.045018 0.039431 0.037525 0.024999 0.064967],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
7,0.23169218691439072,0.23169218691439072,0.0037619944069999995,[0.030429 0.065202 0.030139 0.063432 0.038865 0.04363  0.030162 0.036609 0.036943 0.043356 0.015622 0.       0.       0.       0.029811 0.       0.037984 0.       0.021749 0.021291 0.038423 0.045086 0.039839 0.       0.017985 0.106723 0.043909 0.03846  0.036601 0.024383 0.063367],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
8,0.2252868664339502,0.2252868664339502,0.0037939743380000003,[0.029485 0.063179 0.029204 0.061464 0.037659 0.042276 0.029226 0.035473 0.035797 0.042011 0.015137 0.       0.       0.       0.028886 0.       0.036806 0.       0.021074 0.02063  0.037231 0.043687 0.038603 0.       0.017427 0.134436 0.042547 0.037267 0.035466 0.023627 0.061401],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
9,0.22080750020312084,0.22080750020312084,0.003911063258,[0.029485  0.063179  0.029204  0.0430248 0.0560982 0.042276  0.029226  0.035473  0.035797  0.042011  0.015137  0.        0.        0.        0.028886  0.        0.036806  0.        0.021074  0.02063   0.037231  0.043687  0.038603  0.        0.017427  0.134436  0.042547  0.037267  0.035466  0.023627  0.061401 ],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
10,0.2132286857572561,0.2132286857572561,0.003945251601,[0.028342 0.06073  0.028072 0.041357 0.053923 0.040637 0.028093 0.034098 0.034409 0.040382 0.01455  0.       0.       0.       0.027766 0.       0.035379 0.       0.020257 0.01983  0.035788 0.041993 0.037107 0.       0.016751 0.167992 0.040898 0.035822 0.034091 0.022711 0.059021],[1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 0. 1. 0. 1. 1. 1. 1. 1. 0. 1. 1. 1. 1. 1. 1. 1.],500,100,0.3,0.003,1,25,best,59,random
