iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.15823779668794702,0.15823779668794702,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.171928   0.         0.         0.         0.         0.         0.         0.         0.16929891 0.         0.         0.145761   0.37607909 0.         0.         0.         0.         0.136933  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
1,0.15787712773964413,0.15787712773964413,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.171928   0.         0.         0.         0.         0.         0.         0.         0.16760592 0.         0.         0.145761   0.37777208 0.         0.         0.         0.         0.136933  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
2,0.1575182479470406,0.1575182479470406,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.171928   0.         0.         0.         0.         0.         0.         0.         0.16592986 0.         0.         0.145761   0.37944814 0.         0.         0.         0.         0.136933  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
3,0.15716117558750178,0.15716117558750178,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.171928   0.         0.         0.         0.         0.         0.         0.         0.16427056 0.         0.         0.145761   0.38110744 0.         0.         0.         0.         0.136933  ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
4,0.15711384888203428,0.15711384888203428,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.16427056 0.         0.         0.145761   0.38110744 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
5,0.15675872081964506,0.15675872081964506,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.16262786 0.         0.         0.145761   0.38275014 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
6,0.1564054328659015,0.1564054328659015,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.16100158 0.         0.         0.145761   0.38437642 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
7,0.15605400067203962,0.15605400067203962,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.15939156 0.         0.         0.145761   0.38598644 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
8,0.1557044390551417,0.1557044390551417,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.15779765 0.         0.         0.145761   0.38758035 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
9,0.15535676201996307,0.15535676201996307,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.15621967 0.         0.         0.145761   0.38915833 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
10,0.15501098278027217,0.15501098278027217,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.15465747 0.         0.         0.145761   0.39072053 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
11,0.15466711377971382,0.15466711377971382,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.1531109  0.         0.         0.145761   0.3922671  0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
12,0.15432516671220672,0.15432516671220672,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.17020872 0.         0.         0.         0.         0.         0.         0.         0.15157979 0.         0.         0.145761   0.39379821 0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
13,0.15399368551429524,0.15399368551429524,0.0034598359340000003,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.16850663 0.         0.         0.         0.         0.         0.         0.         0.15157979 0.         0.         0.145761   0.3955003  0.         0.         0.         0.         0.13865228],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1.],5.0,1000,100,0.01,0.0015,1,5,TID,,random,single_objective
