iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.1746949931767354,0.0031566560729999996,8,8,100,64,0.058727,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.04156, 0.136763, 0.172616, 0.235617, 0.1132, 0.269253, 0.019365, 0.011627]","[2, 4, 10, 12, 15, 17, 27, 29]"
1,idID,True,0.16176524739949832,0.004151081775,8,8,100,75,0.0591,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.056105, 0.184628, 0.233029, 0.31808, 0.152819, 0.026142, 0.015696, 0.0135]","[2, 4, 10, 12, 15, 27, 29, 30]"
2,idID,True,0.13768461245771407,0.004038588827,8,8,100,59,0.060043,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.081086, 0.266835, 0.014453, 0.336787, 0.220863, 0.037782, 0.022685, 0.019511]","[2, 4, 8, 10, 15, 27, 29, 30]"
3,idID,True,0.1083696369802324,0.005138984925999999,8,8,100,43,0.059216,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.102752, 0.338134, 0.018315, 0.426778, 0.012672, 0.047877, 0.028747, 0.024724]","[2, 4, 8, 10, 25, 27, 29, 30]"
4,idID,True,0.08406013412793284,0.005497510349999999,8,8,100,53,0.062429,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.372703, 0.020187, 0.47041, 0.011022, 0.013968, 0.052772, 0.031686, 0.027252]","[4, 8, 10, 15, 25, 27, 29, 30]"
5,idID,True,0.06494201228889702,0.008413668473,8,8,100,46,0.059138,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.690715, 0.037412, 0.020427, 0.018533, 0.025886, 0.0978, 0.058722, 0.050505]","[4, 8, 15, 20, 25, 27, 29, 30]"
6,idID,True,0.05161095780893336,0.008992730636,8,8,100,35,0.058432,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.763776, 0.028574, 0.015602, 0.014155, 0.019771, 0.074697, 0.04485, 0.038574]","[4, 8, 15, 20, 25, 27, 29, 30]"
7,idID,True,0.04180755663069356,0.009246531239000001,8,8,100,30,0.057165,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.791356, 0.029606, 0.010361, 0.016165, 0.014666, 0.020485, 0.077394, 0.039967]","[4, 8, 10, 15, 20, 25, 27, 30]"
8,idID,True,0.03658635779051218,0.009783075863000002,8,8,100,37,0.058819,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.848543, 0.031745, 0.01111, 0.017333, 0.015726, 0.021965, 0.010723, 0.042855]","[4, 8, 10, 15, 20, 25, 28, 30]"
9,idID,True,0.03148341620322759,0.009810132414000002,8,8,100,43,0.059673,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.867405, 0.011357, 0.010222, 0.017718, 0.016076, 0.022453, 0.010961, 0.043808]","[4, 10, 14, 15, 20, 25, 28, 30]"
10,idID,True,0.02544413034414497,0.010048408272999998,8,8,100,42,0.057805,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.897756, 0.011754, 0.01058, 0.018338, 0.01035, 0.016639, 0.023239, 0.011345]","[4, 10, 14, 15, 16, 20, 25, 28]"
11,idID,True,0.02199545978754148,0.010093883707999999,8,8,100,45,0.056275,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.903755, 0.011833, 0.010651, 0.018461, 0.010419, 0.023394, 0.010067, 0.011421]","[4, 10, 14, 15, 16, 25, 27, 28]"
12,idID,True,0.018782049989815832,0.010159912617999999,7,7,100,58,0.056094,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.913484, 0.01196, 0.01866, 0.010531, 0.023646, 0.010175, 0.011544]","[4, 10, 15, 16, 25, 27, 28]"
13,idID,True,0.01618287702651071,0.010265042107,6,6,100,49,0.057509,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.923206, 0.012087, 0.018859, 0.023898, 0.010283, 0.011667]","[4, 10, 15, 25, 27, 28]"
14,idID,True,0.014371902936222475,0.010402550067,6,6,100,43,0.059803,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.931458, 0.012195, 0.010089, 0.024112, 0.010375, 0.011771]","[4, 10, 19, 25, 27, 28]"
15,idID,True,0.011447488865747837,0.010459638701,5,5,100,56,0.057467,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.940951, 0.012319, 0.024358, 0.010481, 0.011891]","[4, 10, 25, 27, 28]"
16,idID,True,0.009806945190657902,0.010517703544,5,5,100,49,0.056039,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.954658, 0.012498, 0.010634, 0.012064, 0.010146]","[4, 10, 27, 28, 30]"
17,idID,True,0.00841172154251529,0.010517161253,5,5,100,59,0.056785,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.956632, 0.012524, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
18,TID,True,0.008148895384341005,0.010528147305800001,5,5,100,80,0.055028,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9578844000000001, 0.0112716, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
19,TID,True,0.00791177027251641,0.010538034753320002,5,5,100,76,0.057051,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
20,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,90,0.059005,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
21,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,92,0.056373,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
22,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,87,0.056294,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
23,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,90,0.056654,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
24,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,87,0.054389,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
25,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,91,0.058647,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
26,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,90,0.058938,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
27,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,89,0.055194,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
28,iDR,False,0.00791177027251641,0.010538034753320002,5,5,100,90,0.055981,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9590115600000001, 0.01014444, 0.010021, 0.010656, 0.010167]","[4, 10, 25, 27, 30]"
