iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.2290934763629004,0.2290934763629004,0.0034763524479999998,[0.       0.062654 0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.065243 0.010309 0.067715 0.01     0.054515 0.       0.       0.       0.094191 0.083587 0.056657 0.045531 0.       0.031863 0.012721 0.       0.       0.053643 0.085992 0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],19.0,500,100,0.01,0.0015,1,20,random,10,best
1,0.2023860393583043,0.2023860393583043,0.0032636530480000003,[0.       0.062654 0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.065243 0.010309 0.067715 0.       0.01     0.       0.       0.       0.094191 0.083587 0.056657 0.045531 0.       0.031863 0.012721 0.       0.       0.053643 0.085992 0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],18.0,500,100,0.01,0.0015,1,20,random,10,best
2,0.1743093050623366,0.1743093050623366,0.003098125805,[0.       0.062654 0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.065243 0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.083587 0.01     0.045531 0.       0.031863 0.012721 0.       0.       0.053643 0.085992 0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],17.0,500,100,0.01,0.0015,1,20,random,10,best
3,0.1379249237397776,0.1379249237397776,0.0026290903409999997,[0.       0.062654 0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.065243 0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.083587 0.       0.045531 0.       0.031863 0.012721 0.       0.       0.053643 0.01     0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],16.0,500,100,0.01,0.0015,1,20,random,10,best
4,0.13687014650557755,0.13687014650557755,0.0026420703409999998,[0.       0.062654 0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.01     0.       0.065243 0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.083587 0.       0.045531 0.       0.031863 0.012721 0.       0.       0.053643 0.       0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0.],16.0,500,100,0.01,0.0015,1,20,random,10,best
5,0.11464616422700892,0.11464616422700892,0.002455296742,[0.       0.062654 0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.01     0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.083587 0.       0.045531 0.       0.031863 0.012721 0.       0.       0.053643 0.       0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0.],15.0,500,100,0.01,0.0015,1,20,random,10,best
6,0.10227461781479816,0.10227461781479816,0.0023503690959999998,[0.       0.062654 0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.       0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.083587 0.       0.045531 0.       0.01     0.012721 0.       0.       0.053643 0.       0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 0. 0. 0.],14.0,500,100,0.01,0.0015,1,20,random,10,best
7,0.08167789690433136,0.08167789690433136,0.002092013338,[0.       0.01     0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.       0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.083587 0.       0.045531 0.       0.       0.012721 0.       0.       0.053643 0.       0.       0.      ],[0. 1. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0.],13.0,500,100,0.01,0.0015,1,20,random,10,best
8,0.08101015748941137,0.08101015748941137,0.002053063338,[0.       0.       0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.       0.010309 0.067715 0.       0.       0.       0.01     0.       0.094191 0.083587 0.       0.045531 0.       0.       0.012721 0.       0.       0.053643 0.       0.       0.      ],[0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0.],13.0,500,100,0.01,0.0015,1,20,random,10,best
9,0.08064667444994136,0.08064667444994136,0.002158893338,[0.       0.       0.070148 0.046332 0.01     0.039311 0.033764 0.015611 0.       0.       0.       0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.083587 0.       0.045531 0.       0.       0.012721 0.       0.       0.053643 0.       0.       0.      ],[0. 0. 1. 1. 1. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0.],13.0,500,100,0.01,0.0015,1,20,random,10,best
10,0.05714720833735672,0.05714720833735672,0.001696952151,[0.       0.       0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.       0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.01     0.       0.045531 0.       0.       0.012721 0.       0.       0.053643 0.       0.       0.      ],[0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 0.],12.0,500,100,0.01,0.0015,1,20,random,10,best
11,0.05693347440745672,0.05693347440745672,0.001707112151,[0.       0.       0.070148 0.046332 0.       0.039311 0.033764 0.015611 0.       0.       0.       0.010309 0.067715 0.       0.       0.       0.       0.       0.094191 0.       0.       0.045531 0.       0.       0.012721 0.       0.       0.053643 0.01     0.       0.      ],[0. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 1. 0. 0. 1. 1. 0. 0.],12.0,500,100,0.01,0.0015,1,20,random,10,best
