iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.2164793426273618,0.2164793426273618,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.1476   0.146786 0.       0.       0.       0.       0.       0.139622 0.       0.       0.       0.       0.       0.       0.146975 0.       0.138582 0.138515 0.       0.14192  0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
1,0.21572769351063287,0.21572769351063287,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.144219 0.143975 0.       0.       0.       0.       0.       0.141829 0.       0.       0.       0.       0.       0.       0.144032 0.       0.141517 0.141912 0.       0.142517 0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
2,0.18893538557642464,0.18893538557642464,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.123285 0.123246 0.       0.       0.       0.       0.       0.122899 0.       0.       0.       0.       0.       0.       0.123255 0.       0.122849 0.261456 0.       0.12301  0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
3,0.1863932697820512,0.1863932697820512,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.121274 0.121267 0.       0.       0.       0.       0.       0.121207 0.       0.       0.       0.       0.       0.       0.121269 0.       0.121199 0.272558 0.       0.121226 0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
4,0.18614161027303905,0.18614161027303905,0.002617946557,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.121274   0.121267   0.         0.         0.         0.         0.         0.11999493 0.         0.         0.         0.         0.         0.         0.121269   0.         0.121199   0.27377007 0.         0.121226   0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
5,0.18611533437906522,0.18611533437906522,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.121076 0.121075 0.       0.       0.       0.       0.       0.120854 0.       0.       0.       0.       0.       0.       0.121075 0.       0.121063 0.273789 0.       0.121068 0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
6,0.18611533437906522,0.18611533437906522,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.121076 0.121075 0.       0.       0.       0.       0.       0.120854 0.       0.       0.       0.       0.       0.       0.121075 0.       0.121063 0.273789 0.       0.121068 0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
7,0.18611533437906522,0.1887741248701947,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.121076 0.121075 0.       0.       0.       0.       0.       0.120854 0.       0.       0.       0.       0.       0.       0.121075 0.       0.121063 0.273789 0.       0.121068 0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
8,0.18611148292583596,0.19142906390809497,0.002617946557,[0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.121042 0.121042 0.       0.       0.       0.       0.       0.121003 0.       0.       0.       0.       0.       0.       0.121042 0.       0.12104  0.273791 0.       0.121041 0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
9,0.1857909723239674,0.1857909723239674,0.002617946557,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.121042  0.121042  0.        0.        0.        0.        0.        0.121003  0.        0.        0.        0.        0.        0.        0.121042  0.        0.1198296 0.2750014 0.        0.121041  0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
10,0.18547004269045878,0.18547004269045878,0.002617946557,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.121042   0.121042   0.         0.         0.         0.         0.         0.121003   0.         0.         0.         0.         0.         0.         0.11983158 0.         0.1198296  0.27621182 0.         0.121041   0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
11,0.18547004269045878,0.18547004269045878,0.002617946557,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.121042   0.121042   0.         0.         0.         0.         0.         0.121003   0.         0.         0.         0.         0.         0.         0.11983158 0.         0.1198296  0.27621182 0.         0.121041   0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
12,0.18547004269045878,0.1881196147288939,0.002617946557,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.121042   0.121042   0.         0.         0.         0.         0.         0.121003   0.         0.         0.         0.         0.         0.         0.11983158 0.         0.1198296  0.27621182 0.         0.121041   0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
13,0.1852342246352786,0.19053336871214885,0.002617946557,[0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.121042   0.121042   0.         0.         0.         0.         0.         0.121003   0.         0.         0.         0.         0.         0.         0.11983158 0.         0.1198296  0.27742223 0.         0.11983059 0.        ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 1. 1. 0. 1. 0.],7.0,1000,100,0.01,0.001,1,6,random,,best,single_objective
