iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.2005046384466353,0.2005046384466353,0.002864383547,[0.049484 0.       0.034432 0.       0.       0.       0.019313 0.       0.       0.       0.       0.013607 0.068582 0.       0.       0.062259 0.040548 0.044963 0.056254 0.024896 0.       0.       0.       0.       0.047359 0.       0.504793 0.033509 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
1,0.19994739558988395,0.19994739558988395,0.0028665113720000002,[0.049236 0.       0.034259 0.       0.       0.       0.019216 0.       0.       0.       0.       0.013539 0.068238 0.       0.       0.061946 0.040344 0.044737 0.055972 0.024771 0.       0.       0.       0.       0.047121 0.       0.507281 0.033341 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
2,0.1993839854501225,0.1993839854501225,0.002868626022,[0.048987 0.       0.034086 0.       0.       0.       0.019119 0.       0.       0.       0.       0.013471 0.067894 0.       0.       0.061633 0.04014  0.044511 0.055689 0.024646 0.       0.       0.       0.       0.046883 0.       0.509767 0.033173 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
3,0.1988173904297745,0.1988173904297745,0.0028707505609999995,[0.048739 0.       0.033913 0.       0.       0.       0.019022 0.       0.       0.       0.       0.013403 0.06755  0.       0.       0.06132  0.039936 0.044285 0.055407 0.024521 0.       0.       0.       0.       0.046645 0.       0.512254 0.033005 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
4,0.1986986312594988,0.1986986312594988,0.0028713606558699997,[0.048739   0.         0.03357387 0.         0.         0.         0.019022   0.         0.         0.         0.         0.013403   0.06755    0.         0.         0.06132    0.039936   0.044285   0.055407   0.024521   0.         0.         0.         0.         0.046645   0.         0.51259313 0.033005   0.         0.         0.        ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
5,0.19812681454887407,0.19812681454887407,0.0028734780459999994,[0.04849  0.       0.033403 0.       0.       0.       0.018925 0.       0.       0.       0.       0.013335 0.067206 0.       0.       0.061007 0.039732 0.044059 0.055124 0.024396 0.       0.       0.       0.       0.046407 0.       0.515079 0.032837 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
6,0.19801940675765928,0.19801940675765928,0.0028735617350000003,[0.048513 0.       0.033419 0.       0.       0.       0.018934 0.       0.       0.       0.       0.013341 0.067237 0.       0.       0.061035 0.03975  0.044079 0.05515  0.024407 0.       0.       0.       0.       0.045964 0.       0.515318 0.032852 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
7,0.19744301030311082,0.19744301030311082,0.0028756769640000002,[0.048264 0.       0.033248 0.       0.       0.       0.018837 0.       0.       0.       0.       0.013273 0.066892 0.       0.       0.060722 0.039546 0.043853 0.054867 0.024282 0.       0.       0.       0.       0.045728 0.       0.517803 0.032684 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
8,0.19733642374481358,0.19733642374481358,0.0028757621309999995,[0.048286 0.       0.033263 0.       0.       0.       0.018846 0.       0.       0.       0.       0.013279 0.066923 0.       0.       0.06075  0.039564 0.043873 0.054892 0.024293 0.       0.       0.       0.       0.045291 0.       0.51804  0.032699 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
9,0.196756613888673,0.196756613888673,0.0028778821439999994,[0.048037 0.       0.033092 0.       0.       0.       0.018749 0.       0.       0.       0.       0.013211 0.066578 0.       0.       0.060437 0.03936  0.043647 0.054609 0.024168 0.       0.       0.       0.       0.045058 0.       0.520524 0.032531 0.       0.       0.      ],[1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 1. 1. 1. 1. 1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0.],13.0,500,100,0.01,0.002,1,13,iDR,67,first
