iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.11105261723355486,0.11105261723355486,0.005811601249,[0.       0.       0.       0.137985 0.       0.       0.027986 0.       0.684794 0.       0.       0.       0.       0.       0.       0.021128 0.       0.       0.       0.       0.       0.128108 0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
1,0.08875082045851415,0.08875082045851415,0.006123975725,[0.       0.       0.       0.104915 0.       0.       0.021279 0.       0.760337 0.       0.       0.       0.       0.       0.       0.016064 0.       0.       0.       0.       0.       0.097405 0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
2,0.07372687344910077,0.07372687344910077,0.006315571279,[0.       0.       0.       0.084632 0.       0.       0.017165 0.       0.806671 0.       0.       0.       0.       0.       0.       0.012958 0.       0.       0.       0.       0.       0.078574 0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
3,0.046642779977971616,0.046642779977971616,0.0061904517370000006,[0.       0.       0.       0.084632 0.       0.       0.017165 0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.012958 0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
4,0.0404206606583866,0.0404206606583866,0.006155190697000001,[0.       0.       0.       0.084632 0.       0.       0.012958 0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
5,0.005332172819789707,0.005332172819789707,0.005797969535,[0.       0.       0.       0.012958 0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
6,0.00276455831752,0.00276455831752,0.005740874165000001,[0.       0.       0.       0.       0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
7,0.00149655217262,0.00149655217262,0.005787394165,[0.       0.       0.       0.       0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
8,0.00149655217262,0.00149655217262,0.005787394165,[0.       0.       0.       0.       0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
9,0.00149655217262,0.00149655217262,0.005787394165,[0.       0.       0.       0.       0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
10,0.00149655217262,0.00149655217262,0.005787394165,[0.       0.       0.       0.       0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
11,0.00149655217262,0.00149655217262,0.005787394165,[0.       0.       0.       0.       0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
12,0.00149655217262,0.00149655217262,0.005787394165,[0.       0.       0.       0.       0.       0.       0.       0.       0.806671 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.       0.      ],[0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.3,0.0025,1,5,best,11,first
