iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.20373370975588007,0.20373370975588007,0.004587655162000001,[0.         0.         0.         0.         0.14764363 0.         0.         0.         0.         0.         0.         0.         0.         0.192343   0.         0.         0.         0.         0.         0.21667437 0.         0.         0.         0.         0.         0.         0.221703   0.         0.         0.         0.221637  ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
1,0.20334850793267836,0.20334850793267836,0.004587655162000001,[0.         0.         0.         0.         0.14981037 0.         0.         0.         0.         0.         0.         0.         0.         0.192343   0.         0.         0.         0.         0.         0.21450763 0.         0.         0.         0.         0.         0.         0.221703   0.         0.         0.         0.221637  ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
2,0.16449266840616628,0.16449266840616628,0.004587655162000001,[0.       0.       0.       0.       0.370242 0.       0.       0.       0.       0.       0.       0.       0.       0.151979 0.       0.       0.       0.       0.       0.157969 0.       0.       0.       0.       0.       0.       0.159914 0.       0.       0.       0.159896],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
3,0.1641128187657716,0.1641128187657716,0.004587655162000001,[0.         0.         0.         0.         0.37184114 0.         0.         0.         0.         0.         0.         0.         0.         0.151979   0.         0.         0.         0.         0.         0.157969   0.         0.         0.         0.         0.         0.         0.15831486 0.         0.         0.         0.159896  ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
4,0.1571022944519129,0.1571022944519129,0.004587655162000001,[0.       0.       0.       0.       0.407095 0.       0.       0.       0.       0.       0.       0.       0.       0.146672 0.       0.       0.       0.       0.       0.148512 0.       0.       0.       0.       0.       0.       0.148618 0.       0.       0.       0.149103],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
5,0.15676376537601056,0.15676376537601056,0.004587655162000001,[0.         0.         0.         0.         0.40856172 0.         0.         0.         0.         0.         0.         0.         0.         0.14520528 0.         0.         0.         0.         0.         0.148512   0.         0.         0.         0.         0.         0.         0.148618   0.         0.         0.         0.149103  ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
6,0.15676376537601056,0.15676376537601056,0.004587655162000001,[0.         0.         0.         0.         0.40856172 0.         0.         0.         0.         0.         0.         0.         0.         0.14520528 0.         0.         0.         0.         0.         0.148512   0.         0.         0.         0.         0.         0.         0.148618   0.         0.         0.         0.149103  ],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
7,0.15567252449874505,0.15880779980626528,0.004587655162000001,[0.       0.       0.       0.       0.414181 0.       0.       0.       0.       0.       0.       0.       0.       0.145621 0.       0.       0.       0.       0.       0.14666  0.       0.       0.       0.       0.       0.       0.146693 0.       0.       0.       0.146845],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
8,0.15567252449874505,0.15567252449874505,0.004587655162000001,[0.       0.       0.       0.       0.414181 0.       0.       0.       0.       0.       0.       0.       0.       0.145621 0.       0.       0.       0.       0.       0.14666  0.       0.       0.       0.       0.       0.       0.146693 0.       0.       0.       0.146845],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
9,0.15546359081597838,0.1585770413059533,0.004587655162000001,[0.       0.       0.       0.       0.415294 0.       0.       0.       0.       0.       0.       0.       0.       0.145913 0.       0.       0.       0.       0.       0.146241 0.       0.       0.       0.       0.       0.       0.146251 0.       0.       0.       0.146299],[0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1.],5.0,1000,100,0.01,0.004,1,4,random,,first,single_objective
