iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.23828146704083963,0.23828146704083963,0.0036325299151999998,[0.        0.089503  0.0890491 0.        0.        0.        0.123919  0.        0.1275192 0.061226  0.        0.        0.        0.081181  0.        0.        0.119522  0.045462  0.        0.        0.        0.        0.0909538 0.        0.        0.0381639 0.01095   0.        0.122551  0.        0.       ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
1,0.23439093056982108,0.23439093056982108,0.003760844911,[0.       0.086205 0.085768 0.       0.       0.       0.119353 0.       0.159667 0.05897  0.       0.       0.       0.07819  0.       0.       0.115118 0.043787 0.       0.       0.       0.       0.087602 0.       0.       0.036758 0.010547 0.       0.118035 0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
2,0.21039124631228423,0.21039124631228423,0.0035246766309999997,[0.       0.043331 0.043111 0.       0.       0.       0.059993 0.       0.080257 0.029641 0.       0.       0.       0.039302 0.       0.       0.057864 0.02201  0.       0.       0.       0.       0.044033 0.       0.       0.018476 0.502651 0.       0.05933  0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
3,0.205767681079719,0.205767681079719,0.003541733264,[0.       0.044125 0.043901 0.       0.       0.       0.042765 0.       0.081728 0.030184 0.       0.       0.       0.040022 0.       0.       0.058925 0.022413 0.       0.       0.       0.       0.04484  0.       0.       0.018815 0.511864 0.       0.060417 0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
4,0.1322933385594947,0.1322933385594947,0.004161426771,[0.       0.022272 0.022159 0.       0.       0.       0.021586 0.       0.041252 0.015235 0.       0.       0.       0.020201 0.       0.       0.029742 0.011313 0.       0.       0.       0.       0.022633 0.       0.       0.504749 0.258363 0.       0.030495 0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
5,0.1256625321827414,0.1256625321827414,0.00423498238,[0.       0.024143 0.024021 0.       0.       0.       0.0234   0.       0.044718 0.016515 0.       0.       0.       0.021898 0.       0.       0.032241 0.012264 0.       0.       0.       0.       0.024535 0.       0.       0.547159 0.19605  0.       0.033057 0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
6,0.11023355667864176,0.11023355667864176,0.004313660154000001,[0.       0.020739 0.020634 0.       0.       0.       0.020101 0.       0.038413 0.014186 0.       0.       0.       0.01881  0.       0.       0.027695 0.010535 0.       0.       0.       0.       0.021075 0.       0.       0.61101  0.168406 0.       0.028396 0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
7,0.10153781934720313,0.10153781934720313,0.004241091677000001,[0.       0.014186 0.020634 0.       0.       0.       0.020101 0.       0.038413 0.       0.       0.       0.       0.01881  0.       0.       0.027695 0.010535 0.       0.       0.       0.       0.021075 0.       0.       0.61101  0.168406 0.       0.028396 0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
8,0.0922477898403821,0.0922477898403821,0.004232122837000001,[0.       0.014186 0.020634 0.       0.       0.       0.020101 0.       0.038413 0.       0.       0.       0.       0.01881  0.       0.       0.010535 0.       0.       0.       0.       0.       0.021075 0.       0.       0.61101  0.168406 0.       0.028396 0.       0.      ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
9,0.08039436961785157,0.08039436961785157,0.0043082591896,[0.        0.014186  0.020634  0.        0.        0.        0.020101  0.        0.038413  0.        0.        0.        0.        0.01881   0.        0.        0.010535  0.        0.        0.        0.        0.        0.021075  0.        0.        0.6615318 0.1178842 0.        0.028396  0.        0.       ],[0. 1. 1. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 1. 1. 0. 1. 0. 0.],500,100,0.3,0.0035,1,11,best,77,random
