iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,TID,True,0.2153574766105332,0.00370963339107,8,8,100,73,0.042503,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.23118291000000002, 0.057888, 0.112482, 0.122218, 0.11332, 0.043701, 0.264981, 0.05422809000000001]","[3, 6, 8, 11, 14, 15, 21, 27]"
1,iDR,True,0.21421059606010262,0.0036623752589999997,8,8,100,100,0.043403,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.225215, 0.056394, 0.109578, 0.119063, 0.110395, 0.042573, 0.283955, 0.052828]","[3, 6, 8, 11, 14, 15, 21, 27]"
2,idID,True,0.1239925182286743,0.003018151877,8,8,100,93,0.039083,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.115663, 0.028962, 0.056275, 0.061147, 0.056695, 0.021864, 0.145829, 0.513565]","[3, 6, 8, 11, 14, 15, 21, 27]"
3,idID,True,0.10946200068516158,0.00319266381,8,8,100,53,0.044545,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.011572, 0.133843, 0.033514, 0.06512, 0.070758, 0.065606, 0.025301, 0.594286]","[2, 3, 6, 8, 11, 14, 15, 27]"
4,TID,True,0.10645070729336792,0.0031635261889,8,8,100,42,0.031127,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.011572, 0.12045869999999999, 0.033514, 0.06512, 0.070758, 0.065606, 0.025301, 0.6076703]","[2, 3, 6, 8, 11, 14, 15, 27]"
5,iDR,True,0.10100097039948314,0.003116240371,8,8,100,100,0.048938,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.010909, 0.113558, 0.031594, 0.06139, 0.066705, 0.061848, 0.023852, 0.630145]","[2, 3, 6, 8, 11, 14, 15, 27]"
6,TID,True,0.09831451369431636,0.0030915187943999995,8,8,100,51,0.034291,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.010909, 0.1022022, 0.031594, 0.06139, 0.066705, 0.061848, 0.023852, 0.6415008]","[2, 3, 6, 8, 11, 14, 15, 27]"
7,idID,True,0.08602560988644106,0.003116856119,8,8,100,60,0.042077,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.011506, 0.107791, 0.010547, 0.033322, 0.064747, 0.070353, 0.025156, 0.676579]","[2, 3, 4, 6, 8, 11, 15, 27]"
8,iDR,True,0.08420927075742185,0.0031016186399999996,8,8,100,85,0.036656,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.011631, 0.098069, 0.010662, 0.033685, 0.065452, 0.07112, 0.02543, 0.683951]","[2, 3, 4, 6, 8, 11, 15, 27]"
9,TID,True,0.08240888691570955,0.003081249872,8,8,100,37,0.030128,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.011631, 0.098069, 0.010662, 0.033685, 0.065452, 0.06400800000000001, 0.02543, 0.691063]","[2, 3, 4, 6, 8, 11, 15, 27]"
10,iDR,True,0.08068078026662255,0.0030670518600000004,8,8,100,84,0.034528,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.011746, 0.089136, 0.010768, 0.034019, 0.0661, 0.064642, 0.025682, 0.697907]","[2, 3, 4, 6, 8, 11, 15, 27]"
11,iDR,True,0.07582105163898999,0.0030194991920000002,8,8,100,95,0.038338,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.01098, 0.083321, 0.010066, 0.0318, 0.061788, 0.060425, 0.024007, 0.717615]","[2, 3, 4, 6, 8, 11, 15, 27]"
12,TID,True,0.07347505498521484,0.0030511019320000003,8,8,100,37,0.032386,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.083321, 0.010066, 0.0318, 0.061788, 0.060425, 0.024007, 0.01, 0.717615]","[3, 4, 6, 8, 11, 15, 25, 27]"
13,idID,True,0.06639414381545378,0.003083743545,8,8,100,49,0.044157,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.085263, 0.010301, 0.063228, 0.061833, 0.010233, 0.024567, 0.010233, 0.734342]","[3, 4, 8, 11, 12, 15, 25, 27]"
14,TID,True,0.06481480900259738,0.0030660345738,8,8,100,45,0.034326,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.085263, 0.010301, 0.063228, 0.055649699999999996, 0.010233, 0.024567, 0.010233, 0.7405253]","[3, 4, 8, 11, 12, 15, 25, 27]"
15,TID,True,0.0635372201861878,0.0030684048852,8,8,100,41,0.031238,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.0767367, 0.010301, 0.063228, 0.055649699999999996, 0.010233, 0.024567, 0.0187593, 0.7405253]","[3, 4, 8, 11, 12, 15, 25, 27]"
16,iDR,True,0.062015622031732026,0.0030572199879999994,8,8,100,77,0.040277,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.069597, 0.010381, 0.063717, 0.05608, 0.010312, 0.024757, 0.018904, 0.746252]","[3, 4, 8, 11, 12, 15, 25, 27]"
17,idID,True,0.05948891583520805,0.0031418514469999997,8,8,100,46,0.03631,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.01015, 0.070639, 0.010536, 0.064671, 0.05692, 0.010466, 0.019187, 0.757429]","[1, 3, 4, 8, 11, 12, 25, 27]"
18,iDR,True,0.05802538703139664,0.003132088758,8,8,100,69,0.036324,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.010222, 0.064028, 0.010611, 0.065131, 0.057325, 0.01054, 0.019324, 0.762819]","[1, 3, 4, 8, 11, 12, 25, 27]"
19,TID,True,0.056538033392178506,0.0031156708779999996,8,8,100,53,0.040503,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.010222, 0.064028, 0.010611, 0.065131, 0.0515925, 0.01054, 0.019324, 0.7685515]","[1, 3, 4, 8, 11, 12, 25, 27]"
20,idID,True,0.04312858406841225,0.0030101478029999997,8,8,100,64,0.033646,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.010806, 0.011217, 0.068851, 0.010571, 0.054539, 0.011142, 0.020428, 0.812446]","[1, 4, 8, 10, 11, 12, 25, 27]"
21,idID,True,0.04094256906976262,0.003019949166,7,7,100,34,0.03441,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.010921, 0.011337, 0.069587, 0.055122, 0.011261, 0.020646, 0.821126]","[1, 4, 8, 11, 12, 25, 27]"
22,TID,True,0.04061679890262747,0.0030460442909999996,7,7,100,29,0.032547,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.010921, 0.018295699999999998, 0.0626283, 0.055122, 0.011261, 0.020646, 0.821126]","[1, 4, 8, 11, 12, 25, 27]"
23,idID,True,0.0382356486574385,0.003033562813,6,6,100,51,0.038306,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.018498, 0.06332, 0.055731, 0.011385, 0.020874, 0.830193]","[4, 8, 11, 12, 25, 27]"
24,iDR,True,0.037015475173348814,0.0030214140669999998,6,6,100,87,0.034651,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.018602, 0.063675, 0.050439, 0.011449, 0.020991, 0.834845]","[4, 8, 11, 12, 25, 27]"
25,idID,True,0.03589136001508099,0.003010351592,6,6,100,26,0.031608,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.018696, 0.063998, 0.045625, 0.011507, 0.021097, 0.839076]","[4, 8, 11, 12, 25, 27]"
26,idID,True,0.034822131392115055,0.0030161850139999997,6,6,100,31,0.03173,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.018724, 0.064095, 0.045694, 0.010015, 0.021129, 0.840343]","[4, 8, 11, 18, 25, 27]"
27,TID,True,0.0341514632497214,0.0030143161294,6,6,100,26,0.026698,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.018724, 0.064095, 0.0411246, 0.010015, 0.0256984, 0.840343]","[4, 8, 11, 18, 25, 27]"
28,idID,True,0.033202146868757505,0.003005281218,6,6,100,26,0.036258,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.018801, 0.06436, 0.037165, 0.010056, 0.025805, 0.843813]","[4, 8, 11, 18, 25, 27]"
29,idID,True,0.032990478303110735,0.0030006643379999996,6,6,100,16,0.032543,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.01885, 0.064527, 0.037261, 0.010082, 0.023285, 0.845996]","[4, 8, 11, 18, 25, 27]"
30,idID,False,0.032990478303110735,0.0030006643379999996,6,6,100,11,0.031453,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.01885, 0.064527, 0.037261, 0.010082, 0.023285, 0.845996]","[4, 8, 11, 18, 25, 27]"
31,TID,True,0.032653235779521554,0.003024861963,6,6,100,13,0.030953,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.025302699999999997, 0.0580743, 0.037261, 0.010082, 0.023285, 0.845996]","[4, 8, 11, 18, 25, 27]"
32,iDR,True,0.03161279154936641,0.0030009638009999996,6,6,100,88,0.036479,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.037479, 0.010141, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
33,idID,False,0.03161279154936641,0.0030009638009999996,6,6,100,18,0.039632,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.037479, 0.010141, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
34,idID,False,0.03161279154936641,0.0030009638009999996,6,6,100,16,0.03275,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.037479, 0.010141, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
35,idID,False,0.03161279154936641,0.0030009638009999996,6,6,100,26,0.02966,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.037479, 0.010141, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
36,idID,False,0.03161279154936641,0.0030009638009999996,6,6,100,18,0.03529,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.037479, 0.010141, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
37,TID,True,0.03138519490809869,0.0030013086078,6,6,100,17,0.0307,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.0337311, 0.013888900000000001, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
38,idID,False,0.03138519490809869,0.0030013086078,6,6,100,12,0.031916,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.0337311, 0.013888900000000001, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
39,iDR,False,0.03138519490809869,0.0030013086078,6,6,100,47,0.03339,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.0337311, 0.013888900000000001, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
40,idID,False,0.03138519490809869,0.0030013086078,6,6,100,20,0.036805,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.0337311, 0.013888900000000001, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
41,iDR,False,0.03138519490809869,0.0030013086078,6,6,100,49,0.037166,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.02545, 0.052572, 0.0337311, 0.013888900000000001, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
42,TID,True,0.031082132456866154,0.0030210231078,6,6,100,16,0.030343,100,100,0.1,0.003,1,2,15,random,11,best,bench_local,"[0.0307072, 0.047314800000000004, 0.0337311, 0.013888900000000001, 0.023421, 0.850937]","[4, 8, 11, 18, 25, 27]"
