iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,iDR,True,0.21456345910174218,0.0028631607950000007,7,7,100,61,0.046254,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.411795, 0.010383, 0.019336, 0.258823, 0.034356, 0.097366, 0.167941]","[0, 5, 12, 22, 26, 28, 29]"
1,idID,True,0.16744030845252633,0.002302024339,7,7,100,66,0.044444,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.5482, 0.013822, 0.013312, 0.025741, 0.045736, 0.129618, 0.22357]","[0, 5, 8, 12, 26, 28, 29]"
2,idID,True,0.13236805387577866,0.0024215504190000002,7,7,100,68,0.055231,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.697075, 0.017576, 0.016927, 0.032731, 0.012716, 0.058157, 0.164818]","[0, 5, 8, 12, 25, 26, 28]"
3,idID,True,0.11026786592502726,0.002457436547,7,7,100,62,0.053454,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.732342, 0.010506, 0.018465, 0.017783, 0.034387, 0.013359, 0.173157]","[0, 4, 5, 8, 12, 25, 28]"
4,idID,True,0.10112897520146866,0.00238462065,7,7,100,69,0.043289,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.750649, 0.010769, 0.018927, 0.018228, 0.013693, 0.01025, 0.177486]","[0, 4, 5, 8, 25, 27, 28]"
5,idID,True,0.09557879452552893,0.002376453143,7,7,100,53,0.070307,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.757409, 0.010866, 0.018392, 0.01009, 0.013816, 0.010342, 0.179084]","[0, 4, 8, 17, 25, 27, 28]"
6,idID,True,0.08827251100646104,0.005494375832,7,7,100,65,0.043663,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.043018, 0.072814, 0.03959, 0.039946, 0.054697, 0.040944, 0.708991]","[4, 8, 16, 17, 25, 27, 28]"
7,iDR,True,0.08381718638065422,0.005515731486,7,7,100,100,0.05153,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.04017, 0.067993, 0.036969, 0.037301, 0.051076, 0.038233, 0.728257]","[4, 8, 16, 17, 25, 27, 28]"
8,TID,True,0.08312004460579564,0.0055547968233,7,7,100,26,0.043971,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.0439001, 0.067993, 0.036969, 0.0335709, 0.051076, 0.038233, 0.728257]","[4, 8, 16, 17, 25, 27, 28]"
9,idID,True,0.06863201813535103,0.005610826567,7,7,100,100,0.056641,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.03452, 0.053464, 0.02907, 0.026398, 0.040162, 0.030063, 0.786323]","[4, 8, 16, 17, 25, 27, 28]"
10,idID,True,0.05802328142467308,0.005489982487,7,7,100,100,0.046819,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.036089, 0.010454, 0.030391, 0.027597, 0.041987, 0.031429, 0.822053]","[4, 10, 16, 17, 25, 27, 28]"
11,iDR,True,0.05710753849709368,0.005504091568999999,7,7,100,93,0.074528,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.036189, 0.010483, 0.030475, 0.024906, 0.042103, 0.031516, 0.824328]","[4, 10, 16, 17, 25, 27, 28]"
12,TID,True,0.05564050291346105,0.00555330065,7,7,100,46,0.035989,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.036189, 0.01, 0.030475, 0.024906, 0.042103, 0.031516, 0.824328]","[4, 8, 16, 17, 25, 27, 28]"
13,TID,True,0.05462257556268377,0.005570168562499999,7,7,100,43,0.056879,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.036189, 0.01, 0.0274275, 0.024906, 0.042103, 0.031516, 0.8273754999999999]","[4, 8, 16, 17, 25, 27, 28]"
14,idID,True,0.04948586178563993,0.005671486020999999,7,7,100,75,0.045212,100,100,0.1,0.002,1,2,15,random,38,first,bench_local,"[0.036755, 0.010156, 0.027856, 0.042761, 0.032009, 0.840307, 0.010156]","[4, 8, 16, 25, 27, 28, 30]"
