iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.12383965182598959,0.004753786189,7,7,100,86,0.06087,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.097094, 0.109099, 0.050156, 0.096503, 0.05229, 0.501608, 0.09325]","[2, 8, 11, 14, 22, 25, 28]"
1,idID,True,0.08531536532554235,0.004766824483,7,7,100,49,0.068565,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.064799, 0.072811, 0.033473, 0.064404, 0.034897, 0.667382, 0.062233]","[2, 8, 11, 14, 22, 25, 28]"
2,idID,True,0.06502337958612579,0.004773363572,7,7,100,29,0.066988,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.048625, 0.054638, 0.025118, 0.048329, 0.026187, 0.750403, 0.0467]","[2, 8, 11, 14, 22, 25, 28]"
3,idID,True,0.05251724491509606,0.004777282907,7,7,100,30,0.065987,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.038913, 0.043724, 0.020101, 0.038676, 0.020956, 0.800258, 0.037372]","[2, 8, 11, 14, 22, 25, 28]"
4,idID,True,0.0440413983908942,0.0047799020720000005,7,7,100,34,0.064594,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.032434, 0.036445, 0.016754, 0.032237, 0.017467, 0.833513, 0.03115]","[2, 8, 11, 14, 22, 25, 28]"
5,idID,True,0.03656041577715213,0.004721949908000001,7,7,100,25,0.06187,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.033135, 0.037232, 0.017116, 0.032934, 0.017844, 0.851523, 0.010216]","[2, 8, 11, 14, 22, 25, 27]"
6,idID,True,0.029793768722078146,0.004837539596,7,7,100,40,0.063445,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.038114, 0.017521, 0.033714, 0.010237, 0.018267, 0.87169, 0.010458]","[8, 11, 14, 18, 22, 25, 27]"
7,idID,True,0.02460967373501787,0.0048211819420000005,7,7,100,46,0.064868,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.03904, 0.017947, 0.010243, 0.010486, 0.018711, 0.892862, 0.010712]","[8, 11, 16, 18, 22, 25, 27]"
8,idID,True,0.021119081663836792,0.004707094424000001,7,7,100,57,0.063624,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.018484, 0.010549, 0.0108, 0.010299, 0.019271, 0.919565, 0.011032]","[11, 16, 18, 20, 22, 25, 27]"
9,idID,True,0.018307167138166935,0.004695928222,7,7,100,58,0.06221,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010086, 0.010639, 0.010892, 0.010387, 0.019436, 0.927433, 0.011126]","[3, 16, 18, 20, 22, 25, 27]"
10,idID,True,0.014495530061706216,0.004758994856000001,7,7,100,68,0.065316,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010182, 0.010095, 0.01074, 0.010996, 0.010486, 0.936269, 0.011232]","[3, 4, 16, 18, 20, 25, 27]"
11,idID,True,0.011448957754768485,0.004761506411,6,6,100,64,0.063572,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010199, 0.01085, 0.011109, 0.010594, 0.9459, 0.011348]","[4, 16, 18, 20, 25, 27]"
12,idID,True,0.008673011013463468,0.004783588928,5,5,100,73,0.065303,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010308, 0.010966, 0.011228, 0.956028, 0.01147]","[4, 16, 18, 25, 27]"
13,TID,True,0.007823774978297064,0.004851646516,5,5,100,56,0.061014,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010308, 0.01, 0.011228, 0.956028, 0.01147]","[4, 8, 18, 25, 27]"
14,iDR,True,0.007583412455820499,0.004855847878000001,5,5,100,50,0.058164,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.958029, 0.011494]","[4, 8, 18, 25, 27]"
15,TID,True,0.007431141192708424,0.004858669655000001,5,5,100,77,0.063086,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
16,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,83,0.063565,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
17,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,93,0.061365,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
18,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,88,0.061251,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
19,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,96,0.061144,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
20,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,91,0.062373,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
21,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,88,0.065192,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
22,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,88,0.062644,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
23,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,84,0.060872,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
24,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,89,0.060652,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
25,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,93,0.060976,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
26,iDR,False,0.007431141192708424,0.004858669655000001,5,5,100,93,0.067406,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01033, 0.010021, 0.010126, 0.9591784, 0.0103446]","[4, 8, 18, 25, 27]"
