iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.1306514399728082,0.007656578066,7,7,100,71,0.066214,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.520557, 0.100892, 0.111686, 0.074629, 0.0779, 0.029283, 0.085053]","[4, 7, 8, 9, 10, 22, 29]"
1,idID,True,0.09365894863918914,0.008696330507,7,7,100,63,0.072783,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.67593, 0.068196, 0.075492, 0.050444, 0.052655, 0.019793, 0.05749]","[4, 7, 8, 9, 10, 22, 29]"
2,idID,True,0.07279785380479906,0.009227121392999998,7,7,100,42,0.065504,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.755247, 0.051505, 0.057015, 0.038098, 0.039768, 0.014949, 0.043419]","[4, 7, 8, 9, 10, 22, 29]"
3,idID,True,0.0594890230507039,0.009549172791999998,7,7,100,26,0.063459,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.803372, 0.041378, 0.045804, 0.030607, 0.031948, 0.01201, 0.034882]","[4, 7, 8, 9, 10, 22, 29]"
4,idID,True,0.04941688895713447,0.009648503650999998,7,7,100,30,0.062909,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.829396, 0.047288, 0.031598, 0.032983, 0.010324, 0.012399, 0.036012]","[4, 8, 9, 10, 15, 22, 29]"
5,idID,True,0.04047689368120187,0.009733144002999999,7,7,100,39,0.061374,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.86152, 0.032822, 0.034261, 0.010724, 0.012879, 0.010387, 0.037407]","[4, 9, 10, 15, 22, 28, 29]"
6,idID,True,0.030751157696350694,0.009954804659,7,7,100,43,0.059683,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.885797, 0.033747, 0.035226, 0.011026, 0.013242, 0.010282, 0.01068]","[4, 9, 10, 15, 22, 27, 28]"
7,idID,True,0.02706666423536098,0.010164470048,7,7,100,57,0.059292,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.90872, 0.03462, 0.011311, 0.010259, 0.013585, 0.010548, 0.010956]","[4, 9, 15, 20, 22, 27, 28]"
8,idID,True,0.01974284948481961,0.010357181541999999,7,7,100,64,0.06374,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.931658, 0.011597, 0.010252, 0.010518, 0.013928, 0.010814, 0.011233]","[4, 15, 19, 20, 22, 27, 28]"
9,idID,True,0.016619988440808014,0.010438580388,6,6,100,57,0.062136,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.941561, 0.01172, 0.010361, 0.014076, 0.010929, 0.011352]","[4, 15, 19, 22, 27, 28]"
10,idID,True,0.013612316480215162,0.010497615792,5,5,100,52,0.061146,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.95142, 0.011843, 0.014223, 0.011043, 0.011471]","[4, 15, 22, 27, 28]"
11,idID,True,0.00963967426483094,0.010523767053999999,5,5,100,52,0.060366,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.955455, 0.011893, 0.010042, 0.01109, 0.01152]","[4, 15, 25, 27, 28]"
12,idID,True,0.009189942742397015,0.010544871017999998,5,5,100,63,0.06195,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.957267, 0.010019, 0.010061, 0.011111, 0.011542]","[4, 16, 25, 27, 28]"
13,idID,True,0.008505842001143857,0.010517746038,5,5,100,80,0.060895,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.958745, 0.010034, 0.010077, 0.011128, 0.010015]","[4, 16, 25, 27, 30]"
14,TID,True,0.00793150360351533,0.01053584645,5,5,100,81,0.060029,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.958745, 0.01, 0.010077, 0.011128, 0.010015]","[4, 10, 25, 27, 30]"
15,TID,True,0.0077548250941077606,0.0105453352956,5,5,100,72,0.055355,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
16,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,87,0.056734,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
17,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,88,0.055024,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
18,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,92,0.059389,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
19,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,90,0.057834,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
20,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,86,0.066111,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
21,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,93,0.062218,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
22,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,93,0.063416,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
23,iDR,False,0.0077548250941077606,0.0105453352956,5,5,100,85,0.056187,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.010015]","[4, 10, 25, 27, 30]"
