iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.1583105627123844,0.0030796862729999997,8,8,100,52,0.054103,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.019185, 0.172666, 0.073346, 0.158305, 0.013043, 0.02228, 0.318892, 0.222282]","[4, 6, 7, 12, 15, 26, 27, 30]"
1,idID,True,0.12714539736367614,0.0032280399249999996,8,8,100,60,0.06561,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.022912, 0.087595, 0.011943, 0.189059, 0.015577, 0.026608, 0.380843, 0.265464]","[4, 7, 8, 12, 15, 26, 27, 30]"
2,idID,True,0.11259212279605862,0.003071165347,8,8,100,58,0.063031,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.024839, 0.012948, 0.204963, 0.016887, 0.010841, 0.028846, 0.41288, 0.287795]","[4, 8, 12, 15, 23, 26, 27, 30]"
3,idID,True,0.09315706686025939,0.0033316611630000003,8,8,100,52,0.058888,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.034393, 0.017928, 0.283802, 0.023383, 0.015011, 0.039942, 0.571694, 0.013847]","[4, 8, 12, 15, 23, 26, 27, 29]"
4,idID,True,0.08521626688805937,0.003302103761,8,8,100,53,0.060292,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.035455, 0.018481, 0.292562, 0.024105, 0.010309, 0.015474, 0.58934, 0.014274]","[4, 8, 12, 15, 16, 23, 27, 29]"
5,TID,True,0.08168586612905292,0.0032391736747999994,8,8,100,39,0.05759,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.035455, 0.018481, 0.2633058, 0.024105, 0.010309, 0.015474, 0.6185961999999999, 0.014274]","[4, 8, 12, 15, 16, 23, 27, 29]"
6,idID,True,0.07799524545428703,0.0032454187420000004,8,8,100,52,0.058246,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.03565, 0.018583, 0.264755, 0.024238, 0.010366, 0.010055, 0.622001, 0.014353]","[4, 8, 12, 15, 16, 25, 27, 29]"
7,TID,True,0.07442706076945192,0.0031884699415,8,8,100,55,0.059281,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.03565, 0.018583, 0.2382795, 0.024238, 0.010366, 0.010055, 0.6484765, 0.014353]","[4, 8, 12, 15, 16, 25, 27, 29]"
8,TID,True,0.07086253316949831,0.0031372160210500002,8,8,100,55,0.059968,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.03565, 0.018583, 0.21445155, 0.024238, 0.010366, 0.010055, 0.67230445, 0.014353]","[4, 8, 12, 15, 16, 25, 27, 29]"
9,TID,True,0.06736839760882245,0.003091087492645,8,8,100,52,0.058549,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.03565, 0.018583, 0.193006395, 0.024238, 0.010366, 0.010055, 0.693749605, 0.014353]","[4, 8, 12, 15, 16, 25, 27, 29]"
10,idID,True,0.06443690541670966,0.0031692054179999997,8,8,100,43,0.057902,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.036165, 0.018851, 0.195794, 0.010144, 0.010516, 0.0102, 0.703769, 0.01456]","[4, 8, 12, 13, 16, 25, 27, 29]"
11,TID,True,0.061004885348224944,0.0031270901285999995,8,8,100,59,0.056858,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.036165, 0.018851, 0.1762146, 0.010144, 0.010516, 0.0102, 0.7233484, 0.01456]","[4, 8, 12, 13, 16, 25, 27, 29]"
12,iDR,True,0.05858063099603518,0.0031026646129999995,8,8,100,60,0.05809,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.036814, 0.019189, 0.161438, 0.010326, 0.010705, 0.010383, 0.736324, 0.014821]","[4, 8, 12, 13, 16, 25, 27, 29]"
13,TID,True,0.05544315376506145,0.0030679392991999994,8,8,100,56,0.059571,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.036814, 0.019189, 0.14529419999999998, 0.010326, 0.010705, 0.010383, 0.7524678, 0.014821]","[4, 8, 12, 13, 16, 25, 27, 29]"
