iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.11748424373213867,0.003257252697,7,7,100,61,0.06498,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.042709, 0.105349, 0.047654, 0.103398, 0.102144, 0.090061, 0.508686]","[1, 12, 19, 22, 24, 25, 27]"
1,idID,True,0.08040183138753612,0.003988917111,7,7,100,66,0.064836,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.022361, 0.055158, 0.024951, 0.054137, 0.05348, 0.523577, 0.266336]","[1, 12, 19, 22, 24, 25, 27]"
2,idID,True,0.058994588278090565,0.004248388237,7,7,100,48,0.062806,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.015145, 0.037359, 0.0169, 0.036668, 0.036223, 0.677313, 0.180393]","[1, 12, 19, 22, 24, 25, 27]"
3,idID,True,0.04635853799318519,0.0043812491440000005,7,7,100,39,0.060994,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.01145, 0.028245, 0.012777, 0.027722, 0.027386, 0.756036, 0.136384]","[1, 12, 19, 22, 24, 25, 27]"
4,idID,True,0.03919324565973671,0.0046533007420000005,7,7,100,46,0.060616,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.013106, 0.032331, 0.011447, 0.014625, 0.031732, 0.031348, 0.86541]","[1, 12, 16, 19, 22, 24, 25]"
5,idID,True,0.03205621809255726,0.004692963847,7,7,100,35,0.060777,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.013392, 0.033036, 0.011697, 0.014944, 0.032424, 0.884289, 0.010218]","[1, 12, 16, 19, 22, 25, 30]"
6,idID,True,0.025518374293679646,0.004675758990000001,7,7,100,42,0.061343,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.013708, 0.011973, 0.015296, 0.033189, 0.90514, 0.010236, 0.010459]","[1, 16, 19, 22, 25, 27, 30]"
7,idID,True,0.019121023528911332,0.00467451084,7,7,100,56,0.061728,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.014033, 0.010237, 0.012257, 0.015659, 0.926627, 0.010479, 0.010707]","[1, 12, 16, 19, 25, 27, 30]"
8,idID,True,0.016517225819012663,0.004699348222,6,6,100,55,0.058517,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.014185, 0.010348, 0.01239, 0.015828, 0.936657, 0.010592]","[1, 12, 16, 19, 25, 27]"
9,idID,True,0.013441607379853776,0.004768703623,6,6,100,54,0.06268,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.010042, 0.010391, 0.012442, 0.015895, 0.940593, 0.010637]","[4, 12, 16, 19, 25, 27]"
