iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.21149066000000002,0.21149066000000002,0.003587126046,[0.1 0.1 0.  0.1 0.  0.1 0.  0.  0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.1 0.1 0.  0.  0.  0.  0.  0.1 0.  0.1 0.  0.  0. ],[1. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],10.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
1,0.19738482745197516,0.19738482745197516,0.003587126046,[0.111111 0.111111 0.       0.       0.       0.111111 0.       0.       0.       0.       0.       0.       0.111111 0.111111 0.       0.       0.       0.       0.111111 0.111111 0.       0.       0.       0.       0.       0.111111 0.       0.111111 0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
2,0.18935612731161677,0.18935612731161677,0.003587126046,[0.105882 0.105882 0.       0.       0.       0.105882 0.       0.       0.       0.       0.       0.       0.105882 0.105882 0.       0.       0.       0.       0.105882 0.105882 0.       0.       0.       0.       0.       0.105882 0.       0.152941 0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
3,0.18935612731161677,0.18935612731161677,0.003587126046,[0.105882 0.105882 0.       0.       0.       0.105882 0.       0.       0.       0.       0.       0.       0.105882 0.105882 0.       0.       0.       0.       0.105882 0.105882 0.       0.       0.       0.       0.       0.105882 0.       0.152941 0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
4,0.18935612731161677,0.19146008428174585,0.003587126046,[0.105882 0.105882 0.       0.       0.       0.105882 0.       0.       0.       0.       0.       0.       0.105882 0.105882 0.       0.       0.       0.       0.105882 0.105882 0.       0.       0.       0.       0.       0.105882 0.       0.152941 0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
5,0.18912377550876958,0.19333168944902773,0.003587126046,[0.105732 0.105732 0.       0.       0.       0.105732 0.       0.       0.       0.       0.       0.       0.105732 0.105732 0.       0.       0.       0.       0.105732 0.105732 0.       0.       0.       0.       0.       0.105732 0.       0.15414  0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
6,0.18912377550876958,0.18912377550876958,0.003587126046,[0.105732 0.105732 0.       0.       0.       0.105732 0.       0.       0.       0.       0.       0.       0.105732 0.105732 0.       0.       0.       0.       0.105732 0.105732 0.       0.       0.       0.       0.       0.105732 0.       0.15414  0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
7,0.18911822751471286,0.19121960279814362,0.003587126046,[0.105728 0.105728 0.       0.       0.       0.105728 0.       0.       0.       0.       0.       0.       0.105728 0.105728 0.       0.       0.       0.       0.105728 0.105728 0.       0.       0.       0.       0.       0.105728 0.       0.154175 0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
8,0.18911822751471286,0.18911822751471286,0.003587126046,[0.105728 0.105728 0.       0.       0.       0.105728 0.       0.       0.       0.       0.       0.       0.105728 0.105728 0.       0.       0.       0.       0.105728 0.105728 0.       0.       0.       0.       0.       0.105728 0.       0.154175 0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
9,0.18911822751471286,0.19121954115376522,0.003587126046,[0.105728 0.105728 0.       0.       0.       0.105728 0.       0.       0.       0.       0.       0.       0.105728 0.105728 0.       0.       0.       0.       0.105728 0.105728 0.       0.       0.       0.       0.       0.105728 0.       0.154175 0.       0.       0.      ],[1. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0.],9.0,1000,100,0.01,0.0005,1,8,random,,random,single_objective
