iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.1888448564160971,0.1888448564160971,0.0030440732219999996,[0.       0.       0.       0.027321 0.054188 0.       0.       0.029936 0.       0.013542 0.528065 0.       0.026443 0.05909  0.020171 0.       0.055959 0.       0.       0.052383 0.051215 0.037177 0.       0.       0.       0.       0.044509 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
1,0.18769816403342826,0.18769816403342826,0.0030405161039999996,[0.       0.       0.       0.027483 0.05451  0.       0.       0.030114 0.       0.013623 0.531204 0.       0.0266   0.053497 0.020291 0.       0.056292 0.       0.       0.052694 0.051519 0.037398 0.       0.       0.       0.       0.044774 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
2,0.18135126012588743,0.18135126012588743,0.0029927343950000005,[0.       0.       0.       0.026097 0.051761 0.       0.       0.028595 0.       0.012936 0.554851 0.       0.025258 0.050799 0.019268 0.       0.053453 0.       0.       0.050036 0.04892  0.035512 0.       0.       0.       0.       0.042516 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
3,0.17970766092012433,0.17970766092012433,0.0030294265127000005,[0.        0.        0.        0.026097  0.0568409 0.        0.        0.028595  0.        0.012936  0.554851  0.        0.025258  0.0457191 0.019268  0.        0.053453  0.        0.        0.050036  0.04892   0.035512  0.        0.        0.        0.        0.042516  0.        0.        0.        0.       ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
4,0.17316562578673525,0.17316562578673525,0.002980200126,[0.       0.       0.       0.024725 0.053853 0.       0.       0.027092 0.       0.012256 0.578251 0.       0.02393  0.043316 0.018255 0.       0.050643 0.       0.       0.047406 0.046348 0.033645 0.       0.       0.       0.       0.040281 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
5,0.16640504438192422,0.16640504438192422,0.0029316973039999997,[0.       0.       0.       0.023373 0.050909 0.       0.       0.025611 0.       0.011586 0.601305 0.       0.022622 0.040948 0.017257 0.       0.047875 0.       0.       0.044815 0.043814 0.031806 0.       0.       0.       0.       0.038079 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
6,0.16524931277901772,0.16524931277901772,0.002932724458,[0.       0.       0.       0.023476 0.051133 0.       0.       0.025724 0.       0.011637 0.603951 0.       0.022722 0.041128 0.017333 0.       0.048086 0.       0.       0.045012 0.039606 0.031946 0.       0.       0.       0.       0.038247 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
7,0.15831231742328625,0.15831231742328625,0.0028849000189999996,[0.       0.       0.       0.022139 0.048221 0.       0.       0.024259 0.       0.010974 0.626507 0.       0.021428 0.038786 0.016346 0.       0.045347 0.       0.       0.042448 0.03735  0.030126 0.       0.       0.       0.       0.036069 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
8,0.15125185596496205,0.15125185596496205,0.0028382098710000004,[0.       0.       0.       0.020834 0.045378 0.       0.       0.022829 0.       0.010327 0.648527 0.       0.020165 0.036499 0.015382 0.       0.042673 0.       0.       0.039945 0.035148 0.02835  0.       0.       0.       0.       0.033942 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
9,0.029352232827122002,0.029352232827122002,0.0014695554489999997,[0.       0.       0.       0.020834 0.045378 0.       0.       0.022829 0.       0.       0.010327 0.       0.020165 0.036499 0.015382 0.       0.042673 0.       0.       0.039945 0.035148 0.02835  0.       0.       0.       0.       0.033942 0.       0.       0.       0.      ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
10,0.029058963195721963,0.029058963195721963,0.0014952800908,[0.        0.        0.        0.020834  0.0487722 0.        0.        0.022829  0.        0.        0.010327  0.        0.020165  0.036499  0.015382  0.        0.042673  0.        0.        0.039945  0.035148  0.02835   0.        0.        0.        0.        0.0305478 0.        0.        0.        0.       ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 1. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
11,0.022765152042117053,0.022765152042117053,0.0014066738008,[0.        0.        0.        0.020834  0.0487722 0.        0.        0.022829  0.        0.        0.        0.        0.020165  0.036499  0.015382  0.        0.042673  0.        0.        0.039945  0.010327  0.02835   0.        0.        0.        0.        0.0305478 0.        0.        0.        0.       ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 1. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
12,0.021754365181628776,0.021754365181628776,0.0014021812277999997,[0.        0.        0.        0.020834  0.0487722 0.        0.        0.022829  0.        0.        0.        0.        0.020165  0.036499  0.015382  0.        0.042673  0.        0.        0.039945  0.        0.02835   0.        0.        0.        0.        0.0305478 0.01      0.        0.        0.       ],[0. 0. 0. 1. 1. 0. 0. 1. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0.],500,100,0.1,0.001,1,13,idID,57,first
