iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.10593436783124154,0.10593436783124154,0.0055699233439999996,[0.029448 0.       0.       0.       0.       0.032623 0.       0.040873 0.699185 0.       0.       0.       0.       0.022684 0.       0.114884 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.060303 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
1,0.08472922648164997,0.08472922648164997,0.0059272244689999995,[0.022638 0.       0.       0.       0.       0.025079 0.       0.031421 0.768749 0.       0.       0.       0.       0.017438 0.       0.088317 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.046358 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
2,0.08416532869775412,0.08416532869775412,0.005936282239,[0.022465 0.       0.       0.       0.       0.024888 0.       0.031181 0.770513 0.       0.       0.       0.       0.017305 0.       0.087643 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.046004 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
3,0.07009210861855276,0.07009210861855276,0.006156297910999999,[0.018272 0.       0.       0.       0.       0.020243 0.       0.025361 0.813348 0.       0.       0.       0.       0.014075 0.       0.071284 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.037417 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
4,0.06001267024079174,0.06001267024079174,0.0063070965339999995,[0.015398 0.       0.       0.       0.       0.017059 0.       0.021372 0.842707 0.       0.       0.       0.       0.011861 0.       0.060072 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.031532 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
5,0.0524501097984798,0.0524501097984798,0.006416896431,[0.013305 0.       0.       0.       0.       0.01474  0.       0.018467 0.864085 0.       0.       0.       0.       0.010249 0.       0.051907 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.027246 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
6,0.052033137376925345,0.052033137376925345,0.006422883566999999,[0.013191 0.       0.       0.       0.       0.014614 0.       0.018309 0.86525  0.       0.       0.       0.       0.010161 0.       0.051462 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.027013 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
7,0.05161874532747024,0.05161874532747024,0.006428822178,[0.013078 0.       0.       0.       0.       0.014489 0.       0.018152 0.866406 0.       0.       0.       0.       0.010074 0.       0.051021 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.026781 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,500,100,0.01,0.0025,1,7,TID,31,best
8,0.04787366989204215,0.04787366989204215,0.006457177187000001,[0.013211 0.       0.       0.       0.       0.014636 0.       0.018337 0.875222 0.       0.       0.       0.       0.       0.       0.05154  0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.027054 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],6.0,500,100,0.01,0.0025,1,7,TID,31,best
9,0.042889570750038915,0.042889570750038915,0.0065301515829999995,[0.011745 0.       0.       0.       0.       0.013012 0.       0.016303 0.889064 0.       0.       0.       0.       0.       0.       0.045822 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.024053 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],6.0,500,100,0.01,0.0025,1,7,TID,31,best
10,0.042534317497768696,0.042534317497768696,0.006535306544999999,[0.011642 0.       0.       0.       0.       0.012897 0.       0.016159 0.890042 0.       0.       0.       0.       0.       0.       0.045418 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.023841 0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 1. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],6.0,500,100,0.01,0.0025,1,7,TID,31,best
