iter,obj,aug_obj,return,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.18072,0.1807203,0.0022452812792,100,1000,0.1,0.001,1,5,best,,best
1,0.173044,0.17304371,0.002236374885,100,1000,0.1,0.001,1,5,best,,best
2,0.169472,0.16947183,0.0022316496534,100,1000,0.1,0.001,1,5,best,,best
3,0.164806,0.16480607,0.0022365781574,100,1000,0.1,0.001,1,5,best,,best
4,0.131241,0.13124126,0.002200765755,100,1000,0.1,0.001,1,5,best,,best
5,0.127297,0.12729729,0.0022040951004,100,1000,0.1,0.001,1,5,best,,best
6,0.123648,0.12364825,0.00220709151126,100,1000,0.1,0.001,1,5,best,,best
7,0.120284,0.12028355,0.0022097882810339997,100,1000,0.1,0.001,1,5,best,,best
8,0.1128,0.11279954,0.002201364345,100,1000,0.1,0.001,1,5,best,,best
9,0.095682,0.09568238,0.0021828291469999997,100,1000,0.1,0.001,1,5,best,,best
10,0.093097,0.09309696,0.0021846959398,100,1000,0.1,0.001,1,5,best,,best
11,0.086627,0.08662708,0.0021776312429999996,100,1000,0.1,0.001,1,5,best,,best
12,0.080466,0.08046585,0.0021710201,100,1000,0.1,0.001,1,5,best,,best
13,0.078272,0.07827209,0.0021689311304,100,1000,0.1,0.001,1,5,best,,best
14,0.069574,0.06957429,0.0021598042709999998,100,1000,0.1,0.001,1,5,best,,best
15,0.064335,0.06433483,0.002154402102,100,1000,0.1,0.001,1,5,best,,best
16,0.05941,0.0594097,0.002149389212,100,1000,0.1,0.001,1,5,best,,best
17,0.057778,0.05777811,0.0021504508309999996,100,1000,0.1,0.001,1,5,best,,best
18,0.056224,0.05622439,0.0021490546943,100,1000,0.1,0.001,1,5,best,,best
19,0.054696,0.05469595,0.0021462465587,100,1000,0.1,0.001,1,5,best,,best
20,0.050287,0.05028695,0.002141717889,100,1000,0.1,0.001,1,5,best,,best
21,0.046271,0.04627057,0.002137631122,100,1000,0.1,0.001,1,5,best,,best
22,0.02276,0.0227597,0.004639289701000001,100,1000,0.1,0.001,1,5,best,,best
23,0.02085,0.02085009,0.004652336231,100,1000,0.1,0.001,1,5,best,,best
24,0.02021,0.02021012,0.004656022470000001,100,1000,0.1,0.001,1,5,best,,best
25,0.018499,0.0184988,0.004667742126,100,1000,0.1,0.001,1,5,best,,best
26,0.016775,0.01677542,0.0046552119090000005,100,1000,0.1,0.001,1,5,best,,best
27,0.016241,0.01624087,0.004658254717999999,100,1000,0.1,0.001,1,5,best,,best
28,0.015732,0.01573164,0.00466368156,100,1000,0.1,0.001,1,5,best,,best
29,0.015246,0.01524584,0.00466643545,100,1000,0.1,0.001,1,5,best,,best
30,0.014783,0.01478293,0.0046713570130000005,100,1000,0.1,0.001,1,5,best,,best
31,0.014342,0.01434246,0.004673849435,100,1000,0.1,0.001,1,5,best,,best
32,0.011852,0.0118516,0.004758317872000001,100,1000,0.1,0.001,1,5,best,,best
33,0.011429,0.01142876,0.004762895268,100,1000,0.1,0.001,1,5,best,,best
34,0.011003,0.0110025,0.0047653428897,100,1000,0.1,0.001,1,5,best,,best
