iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.15608192983277522,0.15608192983277522,0.0015250229689999998,[0.26669511 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.53629989 0.         0.         0.         0.         0.         0.197005   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
1,0.15567218211217296,0.15567218211217296,0.0015250229689999998,[0.26402816 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.53896684 0.         0.         0.         0.         0.         0.197005   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
2,0.1552585882162857,0.1552585882162857,0.0015250229689999998,[0.26138788 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.54160712 0.         0.         0.         0.         0.         0.197005   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
3,0.1548413446855509,0.1548413446855509,0.0015250229689999998,[0.258774 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.544221 0.       0.       0.       0.       0.       0.197005 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.      ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
4,0.15456291379870402,0.15456291379870402,0.0015250229689999998,[0.258774   0.         0.         0.         0.         0.         0.         0.         0.         0.         0.54619105 0.         0.         0.         0.         0.         0.19503495 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
5,0.15450809441263252,0.15450809441263252,0.0015250229689999998,[0.25618626 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.54619105 0.         0.         0.         0.         0.         0.19762269 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
6,0.1540850236811945,0.1540850236811945,0.0015250229689999998,[0.2536244  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.54875291 0.         0.         0.         0.         0.         0.19762269 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
7,0.15365885369388038,0.15365885369388038,0.0015250229689999998,[0.25108815 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.55128916 0.         0.         0.         0.         0.         0.19762269 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
8,0.15322976130951643,0.15322976130951643,0.0015250229689999998,[0.24857727 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.55380004 0.         0.         0.         0.         0.         0.19762269 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
9,0.15279791871560197,0.15279791871560197,0.0015250229689999998,[0.2460915  0.         0.         0.         0.         0.         0.         0.         0.         0.         0.55628581 0.         0.         0.         0.         0.         0.19762269 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],3.0,1000,100,0.01,0.0015,1,3,TID,,random,single_objective
