iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.15216150844218965,0.15216150844218965,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.100984 0.117019 0.       0.       0.       0.       0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
1,0.1437697856245311,0.14630581076523427,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
2,0.1437697856245311,0.1437697856245311,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
3,0.1437697856245311,0.1461659487182733,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
4,0.1437697856245311,0.14856211181201548,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
5,0.1437697856245311,0.15095827490575767,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
6,0.1437697856245311,0.15335443799949985,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
7,0.1437697856245311,0.15575060109324204,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
8,0.1437697856245311,0.1581467641869842,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
9,0.1437697856245311,0.1605429272807264,0.003211231056,[0.       0.       0.       0.155625 0.       0.162055 0.       0.       0.       0.       0.       0.117019 0.       0.       0.       0.1      0.       0.       0.       0.146031 0.       0.       0.       0.       0.       0.146535 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],6.0,1000,100,0.01,0.003,1,7,random,,first,single_objective
