iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.16172990802565254,0.16172990802565254,0.003996433948,[0.       0.       0.       0.165456 0.       0.       0.       0.       0.       0.       0.       0.       0.161351 0.       0.       0.       0.       0.       0.       0.       0.       0.14045  0.       0.163134 0.       0.369608 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
1,0.16134002192773814,0.16134002192773814,0.003996433948,[0.         0.         0.         0.16380144 0.         0.         0.         0.         0.         0.         0.         0.         0.161351   0.         0.         0.         0.         0.         0.         0.         0.         0.14045    0.         0.163134   0.         0.37126256 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
2,0.16134002192773814,0.16134002192773814,0.003996433948,[0.         0.         0.         0.16380144 0.         0.         0.         0.         0.         0.         0.         0.         0.161351   0.         0.         0.         0.         0.         0.         0.         0.         0.14045    0.         0.163134   0.         0.37126256 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
3,0.16105276003005298,0.16427956046860773,0.003996433948,[0.         0.         0.         0.16380144 0.         0.         0.         0.         0.         0.         0.         0.         0.15973749 0.         0.         0.         0.         0.         0.         0.         0.         0.14045    0.         0.163134   0.         0.37287607 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
4,0.16066500537794617,0.16066500537794617,0.003996433948,[0.         0.         0.         0.16216343 0.         0.         0.         0.         0.         0.         0.         0.         0.15973749 0.         0.         0.         0.         0.         0.         0.         0.         0.14045    0.         0.163134   0.         0.37451408 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
5,0.16066500537794617,0.16066500537794617,0.003996433948,[0.         0.         0.         0.16216343 0.         0.         0.         0.         0.         0.         0.         0.         0.15973749 0.         0.         0.         0.         0.         0.         0.         0.         0.14045    0.         0.163134   0.         0.37451408 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
6,0.1602794573969189,0.16349275750447784,0.003996433948,[0.         0.         0.         0.16054179 0.         0.         0.         0.         0.         0.         0.         0.         0.15973749 0.         0.         0.         0.         0.         0.         0.         0.         0.14045    0.         0.163134   0.         0.37613572 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
7,0.1602794573969189,0.1602794573969189,0.003996433948,[0.         0.         0.         0.16054179 0.         0.         0.         0.         0.         0.         0.         0.         0.15973749 0.         0.         0.         0.         0.         0.         0.         0.         0.14045    0.         0.163134   0.         0.37613572 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
8,0.15324885072415861,0.15645443987209698,0.003996433948,[0.       0.       0.       0.149432 0.       0.       0.       0.       0.       0.       0.       0.       0.149184 0.       0.       0.       0.       0.       0.       0.       0.       0.143246 0.       0.15023  0.       0.407908 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
9,0.15185664650503614,0.15185664650503614,0.003996433948,[0.       0.       0.       0.146929 0.       0.       0.       0.       0.       0.       0.       0.       0.146852 0.       0.       0.       0.       0.       0.       0.       0.       0.144987 0.       0.14718  0.       0.414052 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
10,0.15157509463234195,0.15157509463234195,0.003996433948,[0.       0.       0.       0.146322 0.       0.       0.       0.       0.       0.       0.       0.       0.146298 0.       0.       0.       0.       0.       0.       0.       0.       0.14571  0.       0.146401 0.       0.415269 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
11,0.15151750784623472,0.15151750784623472,0.003996433948,[0.       0.       0.       0.146166 0.       0.       0.       0.       0.       0.       0.       0.       0.146159 0.       0.       0.       0.       0.       0.       0.       0.       0.145973 0.       0.146191 0.       0.415511 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
12,0.15151750784623472,0.15151750784623472,0.003996433948,[0.       0.       0.       0.146166 0.       0.       0.       0.       0.       0.       0.       0.       0.146159 0.       0.       0.       0.       0.       0.       0.       0.       0.145973 0.       0.146191 0.       0.415511 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
13,0.1515056110194897,0.15453596117641438,0.003996433948,[0.       0.       0.       0.146124 0.       0.       0.       0.       0.       0.       0.       0.       0.146122 0.       0.       0.       0.       0.       0.       0.       0.       0.146063 0.       0.146132 0.       0.415559 0.       0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
14,0.15115342179619215,0.15115342179619215,0.003996433948,[0.         0.         0.         0.146124   0.         0.         0.         0.         0.         0.         0.         0.         0.146122   0.         0.         0.         0.         0.         0.         0.         0.         0.146063   0.         0.14467068 0.         0.41702032 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
15,0.15115342179619215,0.15115342179619215,0.003996433948,[0.         0.         0.         0.146124   0.         0.         0.         0.         0.         0.         0.         0.         0.146122   0.         0.         0.         0.         0.         0.         0.         0.         0.146063   0.         0.14467068 0.         0.41702032 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
16,0.15115342179619215,0.154176490232116,0.003996433948,[0.         0.         0.         0.146124   0.         0.         0.         0.         0.         0.         0.         0.         0.146122   0.         0.         0.         0.         0.         0.         0.         0.         0.146063   0.         0.14467068 0.         0.41702032 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
17,0.15115342179619215,0.15719955866803983,0.003996433948,[0.         0.         0.         0.146124   0.         0.         0.         0.         0.         0.         0.         0.         0.146122   0.         0.         0.         0.         0.         0.         0.         0.         0.146063   0.         0.14467068 0.         0.41702032 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
18,0.15115342179619215,0.16022262710396368,0.003996433948,[0.         0.         0.         0.146124   0.         0.         0.         0.         0.         0.         0.         0.         0.146122   0.         0.         0.         0.         0.         0.         0.         0.         0.146063   0.         0.14467068 0.         0.41702032 0.         0.         0.         0.         0.        ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 0. 0. 0.],5.0,1000,100,0.01,0.002,1,4,random,,first,single_objective
