iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.19658397623364876,0.19658397623364876,0.0036443358371999997,[0.        0.031548  0.0142    0.        0.037432  0.010949  0.021937  0.        0.01854   0.        0.076548  0.055887  0.        0.045655  0.0493556 0.        0.045654  0.013716  0.086145  0.        0.        0.        0.06897   0.072555  0.021393  0.06503   0.        0.0712314 0.043422  0.083077  0.01508  ],[0. 1. 1. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
1,0.1814001452018915,0.1814001452018915,0.0035507578411999997,[0.        0.0142    0.        0.        0.037432  0.010949  0.021937  0.        0.01854   0.        0.076548  0.055887  0.        0.045655  0.0493556 0.        0.045654  0.013716  0.086145  0.        0.        0.        0.06897   0.072555  0.021393  0.06503   0.        0.0712314 0.043422  0.083077  0.01508  ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
2,0.17849379476206337,0.17849379476206337,0.0036219995957,[0.        0.0142    0.        0.        0.037432  0.010949  0.021937  0.        0.0403065 0.        0.076548  0.055887  0.        0.045655  0.0493556 0.        0.045654  0.013716  0.086145  0.        0.        0.        0.06897   0.0507885 0.021393  0.06503   0.        0.0712314 0.043422  0.083077  0.01508  ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 1. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
3,0.1580551678619378,0.1580551678619378,0.0035003010857,[0.        0.0142    0.        0.        0.037432  0.010949  0.021937  0.        0.0403065 0.        0.076548  0.055887  0.        0.013716  0.0493556 0.        0.045654  0.        0.086145  0.        0.        0.        0.06897   0.0507885 0.021393  0.06503   0.        0.0712314 0.043422  0.083077  0.01508  ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
4,0.1553051763220782,0.1553051763220782,0.00360730737635,[0.         0.0142     0.         0.         0.05266855 0.010949   0.021937   0.         0.0403065  0.         0.076548   0.055887   0.         0.013716   0.0493556  0.         0.045654   0.         0.086145   0.         0.         0.         0.06897    0.03555195 0.021393   0.06503    0.         0.0712314  0.043422   0.083077   0.01508   ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
5,0.15060468056042647,0.15060468056042647,0.00355934563835,[0.         0.0142     0.         0.         0.05266855 0.010949   0.021937   0.         0.0403065  0.         0.076548   0.055887   0.         0.013716   0.0493556  0.         0.045654   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.0919224  0.043422   0.083077   0.01508   ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
6,0.1476360328974311,0.1476360328974311,0.00353532920339,[0.         0.0142     0.         0.         0.05266855 0.010949   0.021937   0.         0.0403065  0.         0.076548   0.055887   0.         0.013716   0.03454892 0.         0.045654   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.10672908 0.043422   0.083077   0.01508   ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
7,0.14355458904870882,0.14355458904870882,0.00354392767289,[0.         0.0142     0.         0.         0.05266855 0.010949   0.021937   0.         0.0403065  0.         0.076548   0.055887   0.         0.013716   0.03454892 0.         0.045654   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.13165218 0.043422   0.0581539  0.01508   ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
8,0.14169948045547104,0.14169948045547104,0.0036987100931299994,[0.         0.0142     0.         0.         0.07011472 0.010949   0.021937   0.         0.0403065  0.         0.076548   0.055887   0.         0.013716   0.03454892 0.         0.045654   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.13165218 0.043422   0.04070773 0.01508   ],[0. 1. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
9,0.1258092284982058,0.1258092284982058,0.0036696639921299998,[0.         0.0142     0.         0.         0.07011472 0.         0.021937   0.         0.0403065  0.         0.076548   0.055887   0.         0.013716   0.03454892 0.         0.010949   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.13165218 0.043422   0.04070773 0.01508   ],[0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
10,0.1171374233659884,0.1171374233659884,0.00359028081413,[0.         0.         0.         0.         0.07011472 0.         0.0142     0.         0.0403065  0.         0.076548   0.055887   0.         0.013716   0.03454892 0.         0.010949   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.13165218 0.043422   0.04070773 0.01508   ],[0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
11,0.11128626198961258,0.11128626198961258,0.0035552087421299996,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.076548   0.055887   0.         0.0142     0.03454892 0.         0.010949   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.13165218 0.043422   0.04070773 0.01508   ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
12,0.10790511473276682,0.10790511473276682,0.0035608350201299993,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.0535836  0.055887   0.         0.0142     0.03454892 0.         0.010949   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.06503    0.         0.15461658 0.043422   0.04070773 0.01508   ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
13,0.10564898435004011,0.10564898435004011,0.0036042377361299996,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.03750852 0.055887   0.         0.0142     0.03454892 0.         0.010949   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.08110508 0.         0.15461658 0.043422   0.04070773 0.01508   ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
14,0.1022683639096756,0.1022683639096756,0.0035562196257299997,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.03750852 0.0391209  0.         0.0142     0.03454892 0.         0.010949   0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.08110508 0.         0.17138268 0.043422   0.04070773 0.01508   ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
15,0.09781435687619831,0.09781435687619831,0.0035433002277300003,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.03750852 0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.086145   0.         0.         0.         0.048279   0.03555195 0.021393   0.08110508 0.         0.17138268 0.043422   0.04070773 0.010949  ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
16,0.09493127623864688,0.09493127623864688,0.00353035263423,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.03750852 0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.03555195 0.021393   0.10694858 0.         0.17138268 0.043422   0.04070773 0.010949  ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
17,0.09283588310437249,0.09283588310437249,0.0035404956055650003,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.03750852 0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.02488637 0.021393   0.11761417 0.         0.17138268 0.043422   0.04070773 0.010949  ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
18,0.09124164450818663,0.09124164450818663,0.0035292668776769997,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.03750852 0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.01742046 0.021393   0.11761417 0.         0.17884859 0.043422   0.04070773 0.010949  ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
19,0.08960541188637032,0.08960541188637032,0.003559648778877,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.02625596 0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.01742046 0.021393   0.12886672 0.         0.17884859 0.043422   0.04070773 0.010949  ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 1.],500,100,0.3,0.0035,1,22,idID,0,first
20,0.08200016409735397,0.08200016409735397,0.003501552683225,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.010949   0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.01742046 0.021393   0.12886672 0.         0.17884859 0.043422   0.04070773 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0.],500,100,0.3,0.0035,1,22,idID,0,first
21,0.08072003945466469,0.08072003945466469,0.0035150495269249994,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.010949   0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.01742046 0.0149751  0.13528462 0.         0.17884859 0.043422   0.04070773 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0.],500,100,0.3,0.0035,1,22,idID,0,first
22,0.07904120165365823,0.07904120165365823,0.0035492440201249993,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.010949   0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.01742046 0.0149751  0.14749694 0.         0.17884859 0.043422   0.02849541 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0.],500,100,0.3,0.0035,1,22,idID,0,first
23,0.07685308633941026,0.07685308633941026,0.0035039244787249996,[0.         0.         0.         0.         0.07011472 0.         0.         0.         0.0403065  0.         0.010949   0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.048279   0.01742046 0.0149751  0.14749694 0.         0.19187519 0.0303954  0.02849541 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0.],500,100,0.3,0.0035,1,22,idID,0,first
24,0.0751183896906196,0.0751183896906196,0.003593853772025,[0.         0.         0.         0.         0.08459842 0.         0.         0.         0.0403065  0.         0.010949   0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.0603015  0.         0.         0.         0.0337953  0.01742046 0.0149751  0.14749694 0.         0.19187519 0.0303954  0.02849541 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0.],500,100,0.3,0.0035,1,22,idID,0,first
25,0.07290335193481376,0.07290335193481376,0.003584790456575,[0.         0.         0.         0.         0.08459842 0.         0.         0.         0.0403065  0.         0.010949   0.0391209  0.         0.0142     0.03454892 0.         0.         0.         0.04221105 0.         0.         0.         0.0337953  0.01742046 0.0149751  0.16558739 0.         0.19187519 0.0303954  0.02849541 0.        ],[0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 1. 1. 0. 1. 1. 0. 0. 0. 1. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 1. 0.],500,100,0.3,0.0035,1,22,idID,0,first
