iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.14193137000498096,0.006958538743,7,7,100,62,0.063347,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.523113, 0.041718, 0.104353, 0.040584, 0.102357, 0.128957, 0.058919]","[4, 9, 15, 20, 22, 26, 29]"
1,idID,True,0.10180163973550216,0.008219925175,7,7,100,62,0.070194,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.677099, 0.028247, 0.070657, 0.027479, 0.069306, 0.087317, 0.039894]","[4, 9, 15, 20, 22, 26, 29]"
2,idID,True,0.07915851289950242,0.008865551761999999,7,7,100,45,0.06284,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.755915, 0.021352, 0.053411, 0.020772, 0.052389, 0.066004, 0.030156]","[4, 9, 15, 20, 22, 26, 29]"
3,idID,True,0.060666822593196605,0.009186536690999999,7,7,100,27,0.063878,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.800762, 0.022619, 0.05658, 0.022004, 0.055497, 0.010593, 0.031945]","[4, 9, 15, 20, 22, 27, 29]"
4,idID,True,0.04479349512528573,0.009414655617999998,7,7,100,33,0.074438,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.838931, 0.023697, 0.059277, 0.023053, 0.011098, 0.010477, 0.033468]","[4, 9, 15, 20, 27, 28, 29]"
5,idID,True,0.03322437156242775,0.009944240813999998,7,7,100,47,0.059836,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.882413, 0.024925, 0.024248, 0.010518, 0.011673, 0.01102, 0.035203]","[4, 9, 20, 25, 27, 28, 29]"
6,idID,True,0.024677891377577945,0.010153783438999999,7,7,100,47,0.060002,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.905227, 0.025569, 0.024875, 0.01079, 0.011975, 0.011305, 0.010259]","[4, 9, 20, 25, 27, 28, 30]"
7,idID,True,0.019945502868849545,0.01024038863,7,7,100,45,0.058921,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.918896, 0.025955, 0.010151, 0.010953, 0.012156, 0.011476, 0.010414]","[4, 9, 15, 25, 27, 28, 30]"
8,idID,True,0.01506221708221723,0.010371171718999999,7,7,100,60,0.060182,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.933794, 0.010316, 0.010162, 0.011131, 0.012353, 0.011662, 0.010583]","[4, 15, 19, 25, 27, 28, 30]"
9,idID,True,0.012125054313461517,0.010428351580999999,6,6,100,56,0.060368,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.94338, 0.010422, 0.011245, 0.01248, 0.011782, 0.010692]","[4, 15, 25, 27, 28, 30]"
10,idID,True,0.009455283970425674,0.010536677089,5,5,100,60,0.061972,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.953314, 0.011363, 0.012611, 0.011906, 0.010805]","[4, 25, 27, 28, 30]"
11,idID,True,0.00909413051897796,0.010506242290999999,5,5,100,48,0.057732,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.955135, 0.010019, 0.011385, 0.012635, 0.010826]","[4, 21, 25, 27, 30]"
12,TID,True,0.008788883402896073,0.010501406411,5,5,100,65,0.060813,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.955135, 0.01, 0.010019, 0.011385, 0.012635]","[4, 10, 21, 25, 27]"
13,TID,True,0.008589778315108954,0.010512180275499999,5,5,100,64,0.059912,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9563984999999999, 0.01, 0.010019, 0.011385, 0.0113715]","[4, 10, 21, 25, 27]"
14,idID,True,0.008191274479528114,0.010526044852,5,5,100,62,0.060256,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.957207, 0.010008, 0.011395, 0.011381, 0.010008]","[4, 10, 25, 27, 30]"
15,iDR,True,0.008010484831395817,0.01053259339,5,5,100,67,0.056841,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9583, 0.010019, 0.010267, 0.011394, 0.010019]","[4, 10, 25, 27, 30]"
16,TID,True,0.007829720014191728,0.0105423090538,5,5,100,78,0.060359,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
17,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,88,0.056096,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
18,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,92,0.057318,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
19,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,90,0.05807,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
20,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,86,0.063474,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
21,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,93,0.064141,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
22,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,93,0.062747,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
23,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,85,0.057728,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
24,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,93,0.059571,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
25,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,91,0.061587,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
26,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,94,0.057733,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
27,iDR,False,0.007829720014191728,0.0105423090538,5,5,100,93,0.055712,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9594394, 0.010019, 0.010267, 0.010254599999999999, 0.010019]","[4, 10, 25, 27, 30]"
