iter,obj,aug_obj,return,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.161295,0.16129542,0.0010954337499999999,100,1000,0.1,0.001,1,5,best,,best
1,0.113823,0.11382285,0.005958366287999999,100,1000,0.1,0.001,1,5,best,,best
2,0.110812,0.11081225,0.006264220129999999,100,1000,0.1,0.001,1,5,best,,best
3,0.106572,0.10657191,0.006496317296,100,1000,0.1,0.001,1,5,best,,best
4,0.10345,0.1034497,0.0067576997824000005,100,1000,0.1,0.001,1,5,best,,best
5,0.098916,0.09891637,0.0069825924530000005,100,1000,0.1,0.001,1,5,best,,best
6,0.074748,0.07474794,0.008087258893,100,1000,0.1,0.001,1,5,best,,best
7,0.059915,0.05991489,0.008702533985999999,100,1000,0.1,0.001,1,5,best,,best
8,0.04995,0.04994972,0.009094677791000002,100,1000,0.1,0.001,1,5,best,,best
9,0.04281,0.04280965,0.009366416139999998,100,1000,0.1,0.001,1,5,best,,best
10,0.039678,0.0396783,0.009483384031999999,100,1000,0.1,0.001,1,5,best,,best
11,0.036721,0.03672129,0.009592606449999999,100,1000,0.1,0.001,1,5,best,,best
12,0.032701,0.0327009,0.009739316953999998,100,1000,0.1,0.001,1,5,best,,best
13,0.030166,0.03016588,0.009830823586,100,1000,0.1,0.001,1,5,best,,best
14,0.027795,0.02779453,0.009915688819999997,100,1000,0.1,0.001,1,5,best,,best
15,0.025426,0.02542588,0.009999824111,100,1000,0.1,0.001,1,5,best,,best
16,0.0244,0.02440001,0.010045580095,100,1000,0.1,0.001,1,5,best,,best
17,0.023365,0.02336484,0.0100903838946,100,1000,0.1,0.001,1,5,best,,best
18,0.021454,0.02145406,0.010155637847,100,1000,0.1,0.001,1,5,best,,best
19,0.020656,0.02065592,0.010190236925,100,1000,0.1,0.001,1,5,best,,best
20,0.019867,0.01986715,0.0102235864202,100,1000,0.1,0.001,1,5,best,,best
21,0.019205,0.01920492,0.010251882887999999,100,1000,0.1,0.001,1,5,best,,best
22,0.01859,0.01858974,0.010265702933999999,100,1000,0.1,0.001,1,5,best,,best
23,0.01797,0.01796961,0.010268875153,100,1000,0.1,0.001,1,5,best,,best
24,0.017325,0.01732461,0.010296015452200002,100,1000,0.1,0.001,1,5,best,,best
25,0.016741,0.01674106,0.010309438458100001,100,1000,0.1,0.001,1,5,best,,best
26,0.016157,0.01615701,0.010333864727380002,100,1000,0.1,0.001,1,5,best,,best
27,0.015652,0.01565183,0.010345200404999998,100,1000,0.1,0.001,1,5,best,,best
28,0.015153,0.01515293,0.010366191187,100,1000,0.1,0.001,1,5,best,,best
29,0.014674,0.01467371,0.0103860456006,100,1000,0.1,0.001,1,5,best,,best
30,0.014214,0.01421354,0.010396339246,100,1000,0.1,0.001,1,5,best,,best
31,0.01378,0.01377975,0.01041423224,100,1000,0.1,0.001,1,5,best,,best
32,0.013347,0.0133472,0.010424064804799998,100,1000,0.1,0.001,1,5,best,,best
33,0.011055,0.01105456,0.010444241079999998,100,1000,0.1,0.001,1,5,best,,best
34,0.010694,0.0106938,0.010467062626000001,100,1000,0.1,0.001,1,5,best,,best
