iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.18108827622050405,0.003743461149,8,8,1000,805,0.56922,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.012187, 0.26286, 0.012703, 0.18984, 0.154345, 0.286719, 0.055688, 0.025658]","[4, 8, 13, 14, 15, 21, 22, 25]"
1,idID,True,0.15013864385647485,0.0036761951710000003,8,8,1000,619,0.557378,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.014859, 0.320498, 0.015488, 0.188189, 0.349589, 0.067899, 0.031284, 0.012193]","[4, 8, 13, 15, 21, 22, 25, 27]"
2,idID,True,0.12340984357580027,0.004576160561,8,8,1000,547,0.614545,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.0225, 0.485302, 0.023452, 0.284958, 0.015142, 0.102813, 0.047371, 0.018463]","[4, 8, 13, 15, 16, 22, 25, 27]"
3,idID,True,0.09925172601224327,0.004575017884000001,8,8,1000,549,0.604462,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.024802, 0.534952, 0.025851, 0.314111, 0.016691, 0.011023, 0.052217, 0.020352]","[4, 8, 13, 15, 16, 18, 25, 27]"
4,idID,True,0.05909133423787567,0.0065377192249999995,8,8,1000,489,0.572207,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.035641, 0.768733, 0.037148, 0.023985, 0.01584, 0.01437, 0.075037, 0.029246]","[4, 8, 13, 16, 18, 21, 25, 27]"
5,idID,True,0.04933526694802189,0.006582543638,8,8,1000,322,0.563949,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.036636, 0.790185, 0.010279, 0.024654, 0.016282, 0.014771, 0.077131, 0.030062]","[4, 8, 15, 16, 18, 21, 25, 27]"
6,idID,True,0.0444997063138889,0.006374209632999999,8,8,1000,364,0.571502,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.811808, 0.01056, 0.025329, 0.016728, 0.015175, 0.079242, 0.030885, 0.010274]","[8, 15, 16, 18, 21, 25, 27, 29]"
7,idID,True,0.03857131505632297,0.006557069984,8,8,1000,461,0.622445,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010744, 0.8722, 0.011346, 0.027213, 0.017972, 0.016304, 0.033183, 0.011038]","[4, 8, 15, 16, 18, 21, 27, 29]"
8,idID,True,0.032074106997181814,0.006712872143000001,8,8,1000,475,0.555163,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010932, 0.887476, 0.011545, 0.018287, 0.01659, 0.010175, 0.033764, 0.011231]","[4, 8, 15, 18, 21, 25, 27, 29]"
9,idID,True,0.028892046167767433,0.006798303192,8,8,1000,438,0.5581,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011198, 0.909079, 0.011826, 0.010243, 0.018732, 0.016994, 0.010423, 0.011504]","[4, 8, 15, 16, 18, 21, 25, 29]"
10,idID,True,0.024744195565661507,0.006781745541,8,8,1000,460,0.54154,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011297, 0.917088, 0.01193, 0.010333, 0.017144, 0.010515, 0.010088, 0.011605]","[4, 8, 15, 16, 21, 25, 27, 29]"
11,idID,True,0.02155190876817922,0.006849607669,7,7,1000,519,0.588049,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011415, 0.926663, 0.012055, 0.017323, 0.010625, 0.010193, 0.011726]","[4, 8, 15, 21, 25, 27, 29]"
12,idID,True,0.01934683576736117,0.006870184563999998,7,7,1000,485,0.607854,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011499, 0.933499, 0.012144, 0.010074, 0.010703, 0.010268, 0.011813]","[4, 8, 15, 16, 25, 27, 29]"
13,idID,True,0.016143104694712442,0.0069372296340000006,6,6,1000,557,0.609505,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011616, 0.942999, 0.012268, 0.010812, 0.010372, 0.011933]","[4, 8, 15, 25, 27, 29]"
14,idID,True,0.01391111734849772,0.006985431896,5,5,1000,553,0.687621,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011738, 0.952882, 0.012397, 0.010925, 0.012058]","[4, 8, 15, 25, 29]"
15,idID,True,0.01209707497012123,0.00699918504,5,5,1000,449,0.555065,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011762, 0.954847, 0.012423, 0.010948, 0.010021]","[4, 8, 15, 25, 27]"
16,idID,True,0.011369497727185346,0.007033261670999999,5,5,1000,598,0.577215,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.011791, 0.957165, 0.010024, 0.010975, 0.010045]","[4, 8, 21, 25, 27]"
17,TID,True,0.011018318260711228,0.0070288400459999996,5,5,1000,759,0.558764,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.010024, 0.010975, 0.010045]","[4, 8, 21, 25, 27]"
18,TID,True,0.010978045081493875,0.00701141495,5,5,1000,898,0.541235,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
19,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,898,0.537559,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
20,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,905,0.519928,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
21,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,889,0.524731,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
22,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,888,0.522007,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
23,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,896,0.537604,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
24,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,888,0.530707,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
25,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,896,0.524139,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
26,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,882,0.526223,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
27,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,907,0.523073,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
28,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,900,0.518081,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
29,iDR,False,0.010978045081493875,0.00701141495,5,5,1000,887,0.525217,100,1000,0.1,0.003,5,15,best,,best,gls,"[0.010611899999999999, 0.9583441, 0.01, 0.010975, 0.010045]","[4, 8, 15, 25, 27]"
