iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.17673423831595483,0.17673423831595483,0.003892840754,[0.       0.       0.       0.042871 0.       0.       0.       0.046975 0.       0.       0.012749 0.       0.545543 0.       0.031651 0.       0.087809 0.       0.       0.082196 0.080365 0.       0.       0.       0.       0.       0.069841 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
1,0.17007135924979006,0.17007135924979006,0.003923683435,[0.       0.       0.       0.040653 0.       0.       0.       0.044545 0.       0.       0.012089 0.       0.569053 0.       0.030014 0.       0.083266 0.       0.       0.077944 0.076208 0.       0.       0.       0.       0.       0.066228 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
2,0.1632300748627821,0.1632300748627821,0.003954120488,[0.       0.       0.       0.038464 0.       0.       0.       0.042147 0.       0.       0.011438 0.       0.592256 0.       0.028398 0.       0.078783 0.       0.       0.073747 0.072105 0.       0.       0.       0.       0.       0.062662 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
3,0.15625065899481572,0.15625065899481572,0.003984025039,[0.       0.       0.       0.036313 0.       0.       0.       0.03979  0.       0.       0.010798 0.       0.615055 0.       0.02681  0.       0.074378 0.       0.       0.069624 0.068073 0.       0.       0.       0.       0.       0.059158 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
4,0.14917738959873522,0.14917738959873522,0.004013290858,[0.       0.       0.       0.034209 0.       0.       0.       0.037485 0.       0.       0.010172 0.       0.63736  0.       0.025257 0.       0.070068 0.       0.       0.06559  0.064129 0.       0.       0.       0.       0.       0.05573  0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
5,0.14707011882238824,0.14707011882238824,0.0040330288750000005,[0.       0.       0.       0.034561 0.       0.       0.       0.03787  0.       0.       0.       0.       0.64391  0.       0.025517 0.       0.070788 0.       0.       0.066264 0.064788 0.       0.       0.       0.       0.       0.056303 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
6,0.1399569741388894,0.1399569741388894,0.004060606639,[0.       0.       0.       0.03247  0.       0.       0.       0.035579 0.       0.       0.       0.       0.665451 0.       0.023973 0.       0.066506 0.       0.       0.062255 0.060869 0.       0.       0.       0.       0.       0.052897 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
7,0.11007692980004062,0.11007692980004062,0.004167998052,[0.       0.       0.       0.02433  0.       0.       0.       0.02666  0.       0.       0.       0.       0.749317 0.       0.017963 0.       0.049834 0.       0.       0.046649 0.04561  0.       0.       0.       0.       0.       0.039637 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
8,0.09050636284254608,0.09050636284254608,0.004232336115,[0.       0.       0.       0.019453 0.       0.       0.       0.021316 0.       0.       0.       0.       0.799563 0.       0.014363 0.       0.039845 0.       0.       0.037299 0.036468 0.       0.       0.       0.       0.       0.031692 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
9,0.07677793704896739,0.07677793704896739,0.004275195619999999,[0.       0.       0.       0.016205 0.       0.       0.       0.017757 0.       0.       0.       0.       0.833031 0.       0.011965 0.       0.033192 0.       0.       0.031071 0.030379 0.       0.       0.       0.       0.       0.0264   0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
10,0.06663818037306812,0.06663818037306812,0.004305781836,[0.       0.       0.       0.013886 0.       0.       0.       0.015216 0.       0.       0.       0.       0.856921 0.       0.010253 0.       0.028443 0.       0.       0.026625 0.026032 0.       0.       0.       0.       0.       0.022623 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 1. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
11,0.05291568497501176,0.05291568497501176,0.004222592434999999,[0.       0.       0.       0.013886 0.       0.       0.       0.015216 0.       0.       0.       0.       0.856921 0.       0.       0.       0.028443 0.       0.       0.026625 0.010253 0.       0.       0.       0.       0.       0.022623 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
12,0.04484574743865313,0.04484574743865313,0.004170352737999999,[0.       0.       0.       0.013886 0.       0.       0.       0.010253 0.       0.       0.       0.       0.856921 0.       0.       0.       0.028443 0.       0.       0.026625 0.       0.       0.       0.       0.       0.       0.022623 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
13,0.03365580138101457,0.03365580138101457,0.004114470808,[0.       0.       0.       0.013886 0.       0.       0.       0.       0.       0.       0.       0.       0.856921 0.       0.       0.       0.010253 0.       0.       0.026625 0.       0.       0.       0.       0.       0.       0.022623 0.       0.       0.       0.      ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
14,0.03260748734694968,0.03260748734694968,0.0041171923549000004,[0.        0.        0.        0.013886  0.        0.        0.        0.        0.        0.        0.        0.        0.8591833 0.        0.        0.        0.010253  0.        0.        0.026625  0.        0.        0.        0.        0.        0.        0.0203607 0.        0.        0.        0.       ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
15,0.02138519161900489,0.02138519161900489,0.004035699036900001,[0.        0.        0.        0.013886  0.        0.        0.        0.        0.        0.        0.        0.        0.8591833 0.        0.        0.        0.        0.        0.        0.010253  0.        0.        0.        0.        0.        0.        0.0203607 0.        0.        0.        0.       ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
16,0.018779985353050838,0.018779985353050838,0.0040344043839000004,[0.        0.        0.        0.013886  0.        0.        0.        0.        0.        0.        0.        0.        0.8591833 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.0203607 0.        0.        0.        0.       ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
17,0.018779985353050838,0.018779985353050838,0.0040344043839000004,[0.        0.        0.        0.013886  0.        0.        0.        0.        0.        0.        0.        0.        0.8591833 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.0203607 0.        0.        0.        0.       ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
18,0.018119243944091857,0.018119243944091857,0.0040343682803,[0.        0.        0.        0.0124974 0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.0203607 0.        0.        0.        0.       ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
19,0.010774310863196267,0.010774310863196267,0.0039523930201,[0.        0.        0.        0.0124974 0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.       ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
20,0.004797731371095001,0.004797731371095001,0.0039082572591,[0.        0.        0.        0.01      0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.       ],[0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
21,0.0028707731954910006,0.0028707731954910006,0.0038659272591000005,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.01      0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
22,0.0028707731954910006,0.0028707731954910006,0.0038659272591000005,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.01      0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
23,0.002535571834722,0.002535571834722,0.0038864872591000002,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
24,0.002535571834722,0.002535571834722,0.0038864872591000002,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
25,0.002535571834722,0.002535571834722,0.0038864872591000002,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
26,0.002281367501181,0.002281367501181,0.0039110372591,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
27,0.002281367501181,0.002281367501181,0.0039110372591,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
28,0.002281367501181,0.002281367501181,0.0039110372591,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
29,0.002281367501181,0.002281367501181,0.0039110372591,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
30,0.002281367501181,0.002281367501181,0.0039110372591,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
31,0.002281367501181,0.002281367501181,0.0039110372591,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
32,0.002281367501181,0.002281367501181,0.0039110372591,[0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.8605719 0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.        0.       ],[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0.],500,100,0.1,0.003,1,9,random,57,best
