iter,obj,aug_obj,return,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.100497,0.10049734,0.0024598455039999997,100,1000,0.1,0.001,1,5,best,,best
1,0.072348,0.07234835,0.002421548773,100,1000,0.1,0.001,1,5,best,,best
2,0.056412,0.05641183,0.0024015717259999996,100,1000,0.1,0.001,1,5,best,,best
3,0.052708,0.05270834,0.0023970743530000002,100,1000,0.1,0.001,1,5,best,,best
4,0.049156,0.04915581,0.002392811188,100,1000,0.1,0.001,1,5,best,,best
5,0.04737,0.04737046,0.002396442175,100,1000,0.1,0.001,1,5,best,,best
6,0.04404,0.04403989,0.002392087722,100,1000,0.1,0.001,1,5,best,,best
7,0.042472,0.04247216,0.0023872994688,100,1000,0.1,0.001,1,5,best,,best
8,0.039399,0.03939878,0.002383546209,100,1000,0.1,0.001,1,5,best,,best
9,0.037955,0.0379548,0.0023863405709999993,100,1000,0.1,0.001,1,5,best,,best
10,0.033073,0.03307294,0.0023798690969999998,100,1000,0.1,0.001,1,5,best,,best
11,0.031907,0.03190677,0.0023820473579999994,100,1000,0.1,0.001,1,5,best,,best
12,0.029432,0.02943166,0.002378515006,100,1000,0.1,0.001,1,5,best,,best
13,0.028357,0.02835691,0.0023753432824000003,100,1000,0.1,0.001,1,5,best,,best
14,0.027371,0.0273713,0.0023771463904,100,1000,0.1,0.001,1,5,best,,best
15,0.025192,0.02519214,0.0023739394860000005,100,1000,0.1,0.001,1,5,best,,best
16,0.022962,0.02296186,0.002370678286,100,1000,0.1,0.001,1,5,best,,best
17,0.0214,0.02139965,0.00237329632,100,1000,0.1,0.001,1,5,best,,best
18,0.020579,0.02057946,0.0023709133323999996,100,1000,0.1,0.001,1,5,best,,best
19,0.019885,0.0198852,0.0023690623789999997,100,1000,0.1,0.001,1,5,best,,best
20,0.019198,0.01919816,0.0023705496749999995,100,1000,0.1,0.001,1,5,best,,best
21,0.018561,0.01856092,0.002368673383,100,1000,0.1,0.001,1,5,best,,best
22,0.017867,0.01786682,0.002369902894,100,1000,0.1,0.001,1,5,best,,best
23,0.017288,0.01728752,0.0023682076519999998,100,1000,0.1,0.001,1,5,best,,best
24,0.01671,0.01671028,0.0023694184849999997,100,1000,0.1,0.001,1,5,best,,best
25,0.016183,0.01618294,0.002367884083,100,1000,0.1,0.001,1,5,best,,best
26,0.015654,0.01565437,0.002368975473,100,1000,0.1,0.001,1,5,best,,best
27,0.015173,0.01517335,0.0023699674089999994,100,1000,0.1,0.001,1,5,best,,best
28,0.014691,0.01469127,0.0023685709279999997,100,1000,0.1,0.001,1,5,best,,best
29,0.014252,0.01425187,0.002369464602,100,1000,0.1,0.001,1,5,best,,best
30,0.013814,0.01381418,0.0023682082369999996,100,1000,0.1,0.001,1,5,best,,best
31,0.013414,0.01341362,0.002369012907,100,1000,0.1,0.001,1,5,best,,best
32,0.013016,0.01301635,0.00236787802,100,1000,0.1,0.001,1,5,best,,best
33,0.012651,0.01265117,0.0023678550469999997,100,1000,0.1,0.001,1,5,best,,best
34,0.012286,0.01228591,0.002368585094,100,1000,0.1,0.001,1,5,best,,best
35,0.011925,0.01192474,0.00236756127,100,1000,0.1,0.001,1,5,best,,best
36,0.011592,0.01159238,0.0023675403269999996,100,1000,0.1,0.001,1,5,best,,best
37,0.009786,0.00978612,0.0024430313009999997,100,1000,0.1,0.001,1,5,best,,best
38,0.009435,0.00943461,0.0024436356375,100,1000,0.1,0.001,1,5,best,,best
39,0.009133,0.00913296,0.0024445719439999997,100,1000,0.1,0.001,1,5,best,,best
40,0.008831,0.0088308,0.0024446600149999995,100,1000,0.1,0.001,1,5,best,,best
41,0.008544,0.00854368,0.0024451509844999994,100,1000,0.1,0.001,1,5,best,,best
42,0.00827,0.00827033,0.002445230767,100,1000,0.1,0.001,1,5,best,,best
43,0.008011,0.00801114,0.002445673195,100,1000,0.1,0.001,1,5,best,,best
44,0.007755,0.00775546,0.0024456265204000002,100,1000,0.1,0.001,1,5,best,,best
45,0.00753,0.0075303,0.002446152976,100,1000,0.1,0.001,1,5,best,,best
46,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
47,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
48,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
49,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
50,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
51,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
52,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
53,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
54,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
55,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
56,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
57,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
58,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
59,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
60,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
61,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
62,0.0073,0.00729999,0.002475262036,100,1000,0.1,0.001,1,5,best,,best
