iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,TID,True,0.10417445914239176,0.0105825752956,5,5,100,88,0.056693,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.010077, 0.0100152, 0.01, 0.010015]","[4, 25, 27, 28, 30]"
1,TID,True,0.07757460782174584,0.010577529595599999,5,5,100,91,0.057532,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.010077, 0.0100152, 0.01]","[4, 21, 25, 27, 28]"
2,TID,True,0.05164598488225887,0.010555524057999999,5,5,100,87,0.053445,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.010077, 0.01]","[4, 15, 21, 25, 28]"
3,TID,True,0.03164846097555,0.010510044997,5,5,100,95,0.053313,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
4,iDR,False,0.03164846097555,0.010510044997,5,5,100,92,0.057764,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
5,iDR,False,0.03164846097555,0.010510044997,5,5,100,89,0.056432,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
6,iDR,False,0.03164846097555,0.010510044997,5,5,100,88,0.055261,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
7,iDR,False,0.03164846097555,0.010510044997,5,5,100,90,0.056702,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
8,iDR,False,0.03164846097555,0.010510044997,5,5,100,89,0.05427,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
9,iDR,False,0.03164846097555,0.010510044997,5,5,100,90,0.053945,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
10,iDR,False,0.03164846097555,0.010510044997,5,5,100,89,0.054313,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
11,iDR,False,0.03164846097555,0.010510044997,5,5,100,89,0.05387,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
12,iDR,False,0.03164846097555,0.010510044997,5,5,100,91,0.054485,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
13,iDR,False,0.03164846097555,0.010510044997,5,5,100,89,0.054703,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
14,iDR,False,0.03164846097555,0.010510044997,5,5,100,87,0.055358,100,100,0.1,0.003,5,15,best,42,best,gls,"[0.9598578, 0.01, 0.01, 0.01, 0.01]","[4, 15, 16, 21, 28]"
