iter,obj,aug_obj,return,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.077423,0.07742278,0.003918161331999999,100,1000,0.1,0.001,1,5,best,,best
1,0.074178,0.07417777,0.003831413461,100,1000,0.1,0.001,1,5,best,,best
2,0.071791,0.07179126,0.0038353918935,100,1000,0.1,0.001,1,5,best,,best
3,0.055111,0.05511075,0.0034231323489999996,100,1000,0.1,0.001,1,5,best,,best
4,0.053161,0.05316101,0.0034257271440000002,100,1000,0.1,0.001,1,5,best,,best
5,0.043243,0.04324327,0.0031980464159999996,100,1000,0.1,0.001,1,5,best,,best
6,0.041704,0.04170375,0.003199892932,100,1000,0.1,0.001,1,5,best,,best
7,0.035281,0.03528084,0.003055185709,100,1000,0.1,0.001,1,5,best,,best
8,0.030562,0.03056212,0.0029520794659999997,100,1000,0.1,0.001,1,5,best,,best
9,0.029461,0.02946068,0.0029281906559999998,100,1000,0.1,0.001,1,5,best,,best
10,0.028515,0.02851476,0.0029325187909999997,100,1000,0.1,0.001,1,5,best,,best
11,0.027529,0.0275285,0.0029335897105,100,1000,0.1,0.001,1,5,best,,best
12,0.026731,0.02673116,0.0029369181299999996,100,1000,0.1,0.001,1,5,best,,best
13,0.026002,0.02600158,0.002939924683,100,1000,0.1,0.001,1,5,best,,best
14,0.025161,0.02516084,0.0028891105845999998,100,1000,0.1,0.001,1,5,best,,best
15,0.024478,0.02447796,0.002882895507,100,1000,0.1,0.001,1,5,best,,best
16,0.023802,0.02380199,0.0028854494819999994,100,1000,0.1,0.001,1,5,best,,best
17,0.023147,0.02314685,0.002842163281,100,1000,0.1,0.001,1,5,best,,best
18,0.022518,0.0225179,0.002836383268,100,1000,0.1,0.001,1,5,best,,best
19,0.021891,0.02189076,0.002838572044,100,1000,0.1,0.001,1,5,best,,best
20,0.021277,0.02127654,0.0027989859449999996,100,1000,0.1,0.001,1,5,best,,best
21,0.020624,0.02062447,0.0027611328865999995,100,1000,0.1,0.001,1,5,best,,best
22,0.020043,0.02004276,0.002762913793,100,1000,0.1,0.001,1,5,best,,best
23,0.019461,0.01946114,0.0027574651159999997,100,1000,0.1,0.001,1,5,best,,best
24,0.018864,0.01886417,0.0027232309164,100,1000,0.1,0.001,1,5,best,,best
25,0.018287,0.01828685,0.0027238197004,100,1000,0.1,0.001,1,5,best,,best
26,0.017757,0.01775716,0.002718838831,100,1000,0.1,0.001,1,5,best,,best
27,0.01727,0.01727004,0.0027202012499999997,100,1000,0.1,0.001,1,5,best,,best
28,0.016782,0.01678151,0.002690534061,100,1000,0.1,0.001,1,5,best,,best
29,0.016297,0.016297,0.00268595642,100,1000,0.1,0.001,1,5,best,,best
30,0.015849,0.01584903,0.002659016392,100,1000,0.1,0.001,1,5,best,,best
31,0.015398,0.01539798,0.002660140117,100,1000,0.1,0.001,1,5,best,,best
32,0.014955,0.01495506,0.0026559310299999997,100,1000,0.1,0.001,1,5,best,,best
33,0.014541,0.01454133,0.0026314307669999997,100,1000,0.1,0.001,1,5,best,,best
34,0.014128,0.01412771,0.0026323947459999998,100,1000,0.1,0.001,1,5,best,,best
35,0.013704,0.01370403,0.0026281139251999996,100,1000,0.1,0.001,1,5,best,,best
36,0.013289,0.01328879,0.0026051686208999995,100,1000,0.1,0.001,1,5,best,,best
37,0.012912,0.01291175,0.00260599302,100,1000,0.1,0.001,1,5,best,,best
38,0.012545,0.01254539,0.002602491897,100,1000,0.1,0.001,1,5,best,,best
39,0.012197,0.01219674,0.0025823729199999997,100,1000,0.1,0.001,1,5,best,,best
40,0.011835,0.01183542,0.002582729983,100,1000,0.1,0.001,1,5,best,,best
41,0.011503,0.0115025,0.002579542191,100,1000,0.1,0.001,1,5,best,,best
42,0.010387,0.01038679,0.002544871619,100,1000,0.1,0.001,1,5,best,,best
43,0.010066,0.01006633,0.002526557213,100,1000,0.1,0.001,1,5,best,,best
44,0.009737,0.00973731,0.0025268800005000002,100,1000,0.1,0.001,1,5,best,,best
45,0.009445,0.00944508,0.002510323018,100,1000,0.1,0.001,1,5,best,,best
46,0.009158,0.00915788,0.0025108200729999997,100,1000,0.1,0.001,1,5,best,,best
47,0.008892,0.00889152,0.0024958459950000004,100,1000,0.1,0.001,1,5,best,,best
48,0.00865,0.00865008,0.002482328642,100,1000,0.1,0.001,1,5,best,,best
49,0.008027,0.00802672,0.0025146541389999997,100,1000,0.1,0.001,1,5,best,,best
50,0.007801,0.00780145,0.002502487812,100,1000,0.1,0.001,1,5,best,,best
51,0.007588,0.00758763,0.002491308915,100,1000,0.1,0.001,1,5,best,,best
52,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
53,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
54,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
55,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
56,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
57,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
58,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
59,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
60,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
61,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
62,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
63,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
64,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
65,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
66,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
67,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
68,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
69,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
70,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
71,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
72,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
73,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
74,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
75,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
76,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
77,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
78,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
79,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
80,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
81,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
82,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
83,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
84,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
85,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
86,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
87,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
88,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
89,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
90,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
91,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
92,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
93,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
94,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
95,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
96,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
97,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
98,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
99,0.007395,0.00739469,0.0024812479077,100,1000,0.1,0.001,1,5,best,,best
