iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.13294835128421537,0.0020788250989999995,7,7,100,49,0.109744,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.033705, 0.01968, 0.554862, 0.308424, 0.012921, 0.019183, 0.051225]","[11, 15, 16, 19, 23, 25, 30]"
1,iDR,True,0.12897837097144477,0.001984367486,7,7,100,39,0.1189,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.031933, 0.018645, 0.578263, 0.29221, 0.012242, 0.018175, 0.048532]","[11, 15, 16, 19, 23, 25, 30]"
2,idID,True,0.1281922605621041,0.001974057276,7,7,100,35,0.119536,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.028832, 0.018705, 0.580115, 0.293146, 0.012281, 0.018233, 0.048687]","[11, 15, 16, 19, 23, 25, 30]"
3,idID,True,0.12565489490615545,0.001888686501,7,7,100,50,0.121585,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.029703, 0.01927, 0.597635, 0.271799, 0.012652, 0.018784, 0.050157]","[11, 15, 16, 19, 23, 25, 30]"
4,idID,True,0.12106052300494603,0.0017965604699999999,7,7,100,36,0.122039,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.019657, 0.609647, 0.277262, 0.010201, 0.012906, 0.019162, 0.051165]","[15, 16, 19, 20, 23, 25, 30]"
5,idID,True,0.11691412872757591,0.0018610330599999995,7,7,100,51,0.122602,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.010029, 0.019714, 0.611424, 0.27807, 0.010231, 0.019218, 0.051314]","[4, 15, 16, 19, 20, 25, 30]"
6,idID,True,0.11348019352181207,0.001852373836,6,6,100,59,0.117919,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.010133, 0.019918, 0.617744, 0.280944, 0.019417, 0.051844]","[4, 15, 16, 19, 25, 30]"
7,iDR,True,0.11031915748375636,0.0017671418789999998,6,6,100,55,0.11883,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.010426, 0.020494, 0.635601, 0.260159, 0.019978, 0.053343]","[4, 15, 16, 19, 25, 30]"
8,idID,True,0.10950841428218415,0.0017638538710000001,6,6,100,62,0.118456,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.010482, 0.020604, 0.639009, 0.261554, 0.020085, 0.048266]","[4, 15, 16, 19, 25, 30]"
9,TID,True,0.10715332368441764,0.0017636446278000001,6,6,100,56,0.105324,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.010482, 0.020604, 0.639009, 0.2353986, 0.0462404, 0.048266]","[4, 15, 16, 19, 25, 30]"
10,idID,True,0.0957279071127417,0.006290340847000001,6,6,100,55,0.104524,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.502634, 0.010356, 0.321188, 0.118319, 0.023242, 0.02426]","[4, 15, 16, 19, 25, 30]"
11,idID,True,0.06554908230315772,0.009068278667,6,6,100,74,0.111867,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.729713, 0.015035, 0.171773, 0.014518, 0.033742, 0.03522]","[4, 15, 19, 22, 25, 30]"
12,iDR,True,0.0650146665376622,0.009091902340000001,6,6,100,44,0.101864,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.732291, 0.015088, 0.17238, 0.014569, 0.033861, 0.03181]","[4, 15, 19, 22, 25, 30]"
13,idID,True,0.05321499252701538,0.009466341307,6,6,100,41,0.108952,100,100,0.1,0.0015,1,2,15,best,4,random,bench_local,"[0.788825, 0.011902, 0.135978, 0.011492, 0.02671, 0.025093]","[4, 15, 19, 22, 25, 30]"
