iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.11740240695634502,0.008485679637,7,7,100,52,0.146306,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.047906, 0.667524, 0.077345, 0.034765, 0.068929, 0.066487, 0.037044]","[2, 4, 6, 10, 11, 18, 19]"
1,idID,True,0.09145203813371316,0.009079366472000002,7,7,100,28,0.127857,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.035953, 0.750483, 0.058046, 0.026091, 0.05173, 0.049897, 0.027801]","[2, 4, 6, 10, 11, 18, 19]"
2,idID,True,0.07407915021205883,0.009243942826999998,7,7,100,30,0.13761,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.037519, 0.783164, 0.060574, 0.027227, 0.05207, 0.029012, 0.010435]","[2, 4, 6, 10, 18, 19, 25]"
3,idID,True,0.05539044375366389,0.009390315429999997,7,7,100,47,0.122704,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.039167, 0.817558, 0.063234, 0.028423, 0.030286, 0.010439, 0.010893]","[2, 4, 6, 10, 19, 20, 25]"
4,idID,True,0.038348603501225965,0.009758877997,7,7,100,51,0.128098,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.010562, 0.041369, 0.863527, 0.030021, 0.031989, 0.011026, 0.011505]","[0, 2, 4, 10, 19, 20, 25]"
5,idID,True,0.02718171688342231,0.010035557637999999,7,7,100,55,0.124455,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.010904, 0.891493, 0.030993, 0.033025, 0.011383, 0.011878, 0.010324]","[0, 4, 10, 19, 20, 25, 27]"
6,idID,True,0.020008993214020422,0.010134137751999998,7,7,100,43,0.118597,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.011161, 0.912503, 0.031723, 0.011651, 0.012158, 0.010567, 0.010236]","[0, 4, 10, 20, 25, 27, 30]"
7,idID,True,0.017076240932801457,0.010311678927,7,7,100,53,0.115301,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.011409, 0.932766, 0.01191, 0.012428, 0.010802, 0.010222, 0.010463]","[0, 4, 20, 25, 27, 29, 30]"
8,idID,True,0.013794739039374374,0.010397587864999999,6,6,100,61,0.113746,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.011527, 0.942399, 0.012033, 0.012556, 0.010914, 0.010571]","[0, 4, 20, 25, 27, 30]"
9,idID,True,0.01155287407355627,0.010483253556,5,5,100,50,0.112417,100,100,0.1,0.0065,1,2,15,best,55,first,bench_local,"[0.01165, 0.952468, 0.012162, 0.01269, 0.011031]","[0, 4, 20, 25, 27]"
