iter,obj,aug_obj,return,X,Z,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.2113972263808484,0.2113972263808484,0.00352710356,[0.086338 0.       0.       0.       0.       0.149066 0.       0.       0.       0.       0.       0.135954 0.       0.       0.       0.       0.       0.       0.108141 0.115596 0.       0.011682 0.       0.015766 0.076982 0.       0.       0.207041 0.093434 0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
1,0.20764771903814358,0.20764771903814358,0.0035029764220000006,[0.084587 0.       0.       0.       0.       0.146042 0.       0.       0.       0.       0.       0.133196 0.       0.       0.       0.       0.       0.       0.105947 0.113251 0.       0.011445 0.       0.015446 0.07542  0.       0.       0.223125 0.091539 0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
2,0.20367220870244246,0.20367220870244246,0.003477552579,[0.082741 0.       0.       0.       0.       0.142855 0.       0.       0.       0.       0.       0.130289 0.       0.       0.       0.       0.       0.       0.103635 0.110779 0.       0.011195 0.       0.015109 0.073774 0.       0.       0.240081 0.089541 0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
3,0.1994681137723641,0.1994681137723641,0.0034508376980000007,[0.080801 0.       0.       0.       0.       0.139506 0.       0.       0.       0.       0.       0.127234 0.       0.       0.       0.       0.       0.       0.101205 0.108182 0.       0.010933 0.       0.014755 0.072044 0.       0.       0.257898 0.087442 0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 1. 0. 1. 1. 0. 0. 1. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
4,0.13976703042437186,0.13976703042437186,0.002852890421,[0.080801 0.       0.       0.       0.       0.139506 0.       0.       0.       0.       0.       0.127234 0.       0.       0.       0.       0.       0.       0.101205 0.108182 0.       0.       0.       0.014755 0.072044 0.       0.       0.010933 0.087442 0.       0.      ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
5,0.1389897133163976,0.1389897133163976,0.0028850896194999994,[0.0727209 0.        0.        0.        0.        0.139506  0.        0.        0.        0.        0.        0.127234  0.        0.        0.        0.        0.        0.        0.1092851 0.108182  0.        0.        0.        0.014755  0.072044  0.        0.        0.010933  0.087442  0.        0.       ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 1. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
6,0.09414920185872575,0.09414920185872575,0.0022545304635,[0.0727209 0.        0.        0.        0.        0.139506  0.        0.        0.        0.        0.        0.010933  0.        0.        0.        0.        0.        0.        0.1092851 0.108182  0.        0.        0.        0.014755  0.072044  0.        0.        0.        0.087442  0.        0.       ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
7,0.08862050375722325,0.08862050375722325,0.0021829728735,[0.0727209 0.        0.        0.        0.        0.139506  0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.1092851 0.108182  0.        0.        0.        0.010933  0.072044  0.        0.        0.        0.087442  0.        0.       ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
8,0.08716471376564955,0.08716471376564955,0.0021828863279,[0.0727209 0.        0.        0.        0.        0.139506  0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.1092851 0.0973638 0.        0.        0.        0.010933  0.072044  0.0108182 0.        0.        0.087442  0.        0.       ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 1. 0. 0. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
9,0.06465796104237223,0.06465796104237223,0.0019663372933,[0.0727209 0.        0.        0.        0.        0.139506  0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.1092851 0.0973638 0.        0.        0.        0.010933  0.0108182 0.        0.        0.        0.087442  0.        0.       ],[1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 1. 1. 0. 0. 0. 1. 0. 0.],500,100,0.1,0.0005,1,10,TID,17,best
