iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.19646667156629644,0.19646667156629644,0.0033683615410000003,[0.       0.       0.       0.       0.260194 0.122871 0.12189  0.       0.       0.       0.       0.       0.       0.       0.125008 0.122844 0.       0.       0.       0.       0.       0.125776 0.       0.       0.       0.       0.121416 0.       0.       0.       0.      ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
1,0.1963887525458964,0.1963887525458964,0.0033683615410000003,[0.         0.         0.         0.         0.260194   0.122871   0.12189    0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.121416   0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
2,0.19608364393895786,0.19608364393895786,0.0033683615410000003,[0.         0.         0.         0.         0.2614129  0.122871   0.1206711  0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.121416   0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
3,0.19608364393895786,0.19608364393895786,0.0033683615410000003,[0.         0.         0.         0.         0.2614129  0.122871   0.1206711  0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.121416   0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
4,0.19608364393895786,0.19888483885237154,0.0033683615410000003,[0.         0.         0.         0.         0.2614129  0.122871   0.1206711  0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.121416   0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
5,0.19608364393895786,0.20168603376578523,0.0033683615410000003,[0.         0.         0.         0.         0.2614129  0.122871   0.1206711  0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.121416   0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
6,0.1957804854344302,0.20418407017467124,0.0033683615410000003,[0.         0.         0.         0.         0.26261961 0.122871   0.11946439 0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.121416   0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
7,0.1954823395444877,0.1954823395444877,0.0033683615410000003,[0.         0.         0.         0.         0.26383377 0.122871   0.11946439 0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.12020184 0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
8,0.1954823395444877,0.1954823395444877,0.0033683615410000003,[0.         0.         0.         0.         0.26383377 0.122871   0.11946439 0.         0.         0.         0.         0.         0.         0.         0.125008   0.12410176 0.         0.         0.         0.         0.         0.12451824 0.         0.         0.         0.         0.12020184 0.         0.         0.         0.        ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
9,0.19402331826410096,0.1968159231147365,0.0033683615410000003,[0.       0.       0.       0.       0.272795 0.121231 0.120643 0.       0.       0.       0.       0.       0.       0.       0.121601 0.121444 0.       0.       0.       0.       0.       0.121516 0.       0.       0.       0.       0.12077  0.       0.       0.       0.      ],[0. 0. 0. 0. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0.],7.0,1000,100,0.01,0.003,1,6,random,,first,single_objective
