iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
0,idID,True,0.17318921616298263,0.004358185458328277,10,"[0.02237353 0.05681624 0.01333754 0.05197338 0.08552233 0.04446269
 0.54193123 0.06318524 0.04964052 0.07075729]",[ 1  2  5  9 11 16 18 26 28 30],100,19,0.015975,1000,100,0.001,0.004,1,10,10,idID,7,first
1,idID,True,0.15441550825926936,0.004258272998568,10,"[0.02420127 0.06145767 0.01442711 0.05621918 0.04809493 0.58620262
 0.06834697 0.01081692 0.05369575 0.07653759]",[ 1  2  5  9 16 18 26 27 28 30],100,65,0.016968,1000,100,0.001,0.004,1,10,10,idID,7,first
2,idID,True,0.13785626047778207,0.004285118534607072,10,"[0.02570083 0.06526573 0.01532105 0.05970265 0.01061962 0.051075
 0.62252507 0.01148716 0.05702286 0.08128003]",[ 1  2  5  9 15 16 18 27 28 30],100,61,0.016614,1000,100,0.001,0.004,1,10,10,idID,7,first
3,idID,True,0.12294479892962017,0.004480580968171374,10,"[0.0272043  0.01621731 0.06319517 0.01058499 0.01124086 0.05406282
 0.65894198 0.01215914 0.06035862 0.08603481]",[ 1  5  9 12 15 16 18 27 28 30],100,65,0.016876,1000,100,0.001,0.004,1,10,10,idID,7,first
4,idID,True,0.10682963303780457,0.004540715284813964,10,"[0.02873274 0.01712846 0.01117969 0.01187241 0.05710028 0.6959639
 0.01284229 0.0637498  0.01056184 0.09086858]",[ 1  5 12 15 16 18 27 28 29 30],100,64,0.016774,1000,100,0.001,0.004,1,10,10,idID,7,first
5,idID,True,0.093622629271907,0.004481935852787147,10,"[0.03036485 0.01810141 0.01056803 0.01181473 0.0125468  0.06034374
 0.7354967  0.01357177 0.01116178 0.09603018]",[ 1  5  8 12 15 16 18 27 29 30],100,63,0.016726,1000,100,0.001,0.004,1,10,10,idID,7,first
6,idID,True,0.07564266636782184,0.004668068828197419,10,"[0.01094128 0.03322303 0.01980526 0.01156278 0.01292683 0.01372781
 0.06602378 0.80472756 0.01484926 0.01221242]",[ 0  1  5  8 12 15 16 18 27 29],100,62,0.016628,1000,100,0.001,0.004,1,10,10,idID,7,first
7,idID,True,0.062626256636936,0.004945294196255577,10,"[0.01159063 0.03519478 0.02098068 0.01224901 0.01369402 0.01454253
 0.85248711 0.01059349 0.01573054 0.01293721]",[ 0  1  5  8 12 15 18 21 27 29],100,69,0.017129,1000,100,0.001,0.004,1,10,10,idID,7,first
8,idID,True,0.05139212242282085,0.004937556240509227,10,"[0.0118902  0.01025846 0.02152294 0.0125656  0.01404796 0.0149184
 0.87452046 0.01086729 0.01613711 0.01327159]",[ 0  2  5  8 12 15 18 21 27 29],100,65,0.016763,1000,100,0.001,0.004,1,10,10,idID,7,first
9,idID,True,0.04613587602026616,0.004977988465019053,10,"[0.01202881 0.01037805 0.01271208 0.01011657 0.01421172 0.01509231
 0.88471498 0.01099397 0.01632523 0.0134263 ]",[ 0  2  8 10 12 15 18 21 27 29],100,65,0.016789,1000,100,0.001,0.004,1,10,10,idID,7,first
10,idID,True,0.04273148707531137,0.005049504073538591,10,"[0.01209038 0.01043116 0.01277715 0.01016835 0.01428446 0.88924328
 0.01105024 0.01005118 0.01640878 0.01349502]",[ 0  2  8 10 12 18 21 25 27 29],100,73,0.017241,1000,100,0.001,0.004,1,10,10,idID,7,first
11,idID,True,0.04074783370576147,0.005041639117079414,10,"[0.01213278 0.01046775 0.01282196 0.01020402 0.01433456 0.01003507
 0.8923621  0.011089   0.01008644 0.01646633]",[ 0  2  8 10 12 15 18 21 25 27],100,64,0.016819,1000,100,0.001,0.004,1,10,10,idID,7,first
12,idID,True,0.03783860756416442,0.005022863177342246,10,"[0.0121856  0.01051332 0.01287778 0.01024844 0.01007876 0.89624693
 0.01113727 0.01013035 0.01653802 0.01004353]",[ 0  2  8 10 15 18 21 25 27 30],100,64,0.016752,1000,100,0.001,0.004,1,10,10,idID,7,first
