iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.13102051034881532,0.006918240343,8,8,100,69,0.253004,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.085485, 0.504467, 0.080402, 0.039708, 0.062258, 0.038661, 0.098141, 0.090879]","[2, 4, 6, 10, 11, 16, 19, 27]"
1,idID,True,0.08803381568874294,0.004737129763999999,8,8,100,40,0.250001,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.044777, 0.26424, 0.042115, 0.020799, 0.032611, 0.020251, 0.051406, 0.523801]","[2, 4, 6, 10, 11, 16, 19, 27]"
2,idID,True,0.06429962305287767,0.003963202117999999,8,8,100,37,0.24227,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.030333, 0.179, 0.028529, 0.01409, 0.022091, 0.013718, 0.034823, 0.677415]","[2, 4, 6, 10, 11, 16, 19, 27]"
3,idID,True,0.05042334588011428,0.0035668129009999994,8,8,100,45,0.233953,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.022935, 0.135341, 0.021571, 0.010653, 0.016703, 0.010372, 0.02633, 0.756096]","[2, 4, 6, 10, 11, 16, 19, 27]"
4,idID,True,0.04593620132509767,0.0035651949029999997,8,8,100,55,0.238421,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.010117, 0.023203, 0.136925, 0.010778, 0.016899, 0.010493, 0.026638, 0.764946]","[0, 2, 4, 10, 11, 16, 19, 27]"
5,idID,True,0.041462940788268295,0.003515734745,8,8,100,60,0.244311,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.010288, 0.023596, 0.139242, 0.01096, 0.017185, 0.010671, 0.777889, 0.010169]","[0, 2, 4, 10, 11, 16, 27, 29]"
6,idID,True,0.037697522877294,0.0035527491729999998,8,8,100,72,0.241401,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.01043, 0.141161, 0.011111, 0.017422, 0.010818, 0.788611, 0.010309, 0.010138]","[0, 4, 10, 11, 16, 27, 29, 30]"
7,idID,True,0.03502739349729355,0.0035885245119999997,7,7,100,72,0.224707,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.010544, 0.142705, 0.011233, 0.017613, 0.797235, 0.010422, 0.010249]","[0, 4, 10, 11, 27, 29, 30]"
8,idID,True,0.03234825278528925,0.003542663901,7,7,100,68,0.237,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.010625, 0.1438, 0.011319, 0.010077, 0.80335, 0.010502, 0.010328]","[0, 4, 10, 21, 27, 29, 30]"
9,idID,True,0.029995073659698737,0.003566646591,6,6,100,76,0.235738,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.145344, 0.011441, 0.010185, 0.811976, 0.010615, 0.010439]","[4, 10, 21, 27, 29, 30]"
10,idID,True,0.027922148007599023,0.0035840158770000003,5,5,100,68,0.232859,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.14684, 0.011559, 0.820331, 0.010724, 0.010546]","[4, 10, 27, 29, 30]"
11,idID,True,0.025943362856216703,0.0035968458969999994,4,4,100,80,0.243942,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.148405, 0.011682, 0.829074, 0.010838]","[4, 10, 27, 29]"
12,idID,True,0.02398868454329133,0.0036144208869999996,3,3,100,74,0.295921,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.150031, 0.01181, 0.838159]","[4, 10, 27]"
13,idID,False,0.02114752847098096,0.0034366181389999997,3,3,100,77,0.262645,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.129132, 0.010165, 0.860703]","[4, 10, 27]"
14,idID,True,0.018966044841777312,0.0034504153659999995,2,2,100,98,0.247801,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.130458, 0.869542]","[4, 27]"
15,idID,True,0.011535480993151295,0.010432697888,2,2,100,100,0.267092,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.928804, 0.071196]","[4, 25]"
16,idID,False,0.00228507052149968,0.010771560656,2,2,100,45,0.262319,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.989348, 0.010652]","[4, 10]"
17,TID,True,0.0016541107081600001,0.01077264602,2,2,100,97,0.233363,100,100,0.1,0.003,2,15,best,42,best,gls,"[0.989348, 0.01]","[4, 27]"
