iter,move,improve,obj,return,n_assets,X,Z,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy
0,idID,True,0.23292581535460177,0.0031407826119298336,10,"[0.01109316 0.13315119 0.14907389 0.09847032 0.08355016 0.03319268
 0.14390323 0.13679517 0.09676702 0.11400319]",[ 0  1  2  3  5  7 12 13 21 27],100,33,0.052555,1000,100,0.01,0.001,1,10,10,best,10,random
1,TID,True,0.23259869467129476,0.0031389988029350948,10,"[0.01109316 0.13315119 0.14907389 0.09847032 0.08355016 0.03319268
 0.14390323 0.13542722 0.09676702 0.11537114]",[ 0  1  2  3  5  7 12 13 21 27],100,40,0.050285,1000,100,0.01,0.001,1,10,10,best,10,random
2,idID,True,0.22762882543824922,0.002998676912683319,10,"[0.01265116 0.17001094 0.11230023 0.09528457 0.03785451 0.16411407
 0.15444763 0.1103577  0.01140447 0.13157472]",[ 0  2  3  5  7 12 13 21 22 27],100,31,0.049885,1000,100,0.01,0.001,1,10,10,best,10,random
3,idID,True,0.21781942765700552,0.002877811731947617,10,"[0.01478713 0.19871483 0.1312605  0.11137198 0.01168836 0.0442457
 0.19182235 0.12899    0.01332995 0.15378921]",[ 0  2  3  5  6  7 12 21 22 27],100,23,0.04942,1000,100,0.01,0.001,1,10,10,best,10,random
4,iDR,True,0.21779482390916974,0.002877574668651935,10,"[0.0147891  0.19874132 0.131278   0.11138683 0.01168991 0.0442516
 0.19184792 0.12900719 0.01319841 0.15380971]",[ 0  2  3  5  6  7 12 21 22 27],100,26,0.049162,1000,100,0.01,0.001,1,10,10,best,10,random
5,idID,True,0.21326958505808466,0.0028025304069858163,10,"[0.01531362 0.20578995 0.13593395 0.11533732 0.01210451 0.19865208
 0.01035466 0.13358261 0.01366651 0.15926478]",[ 0  2  3  5  6 12 19 21 22 27],100,32,0.049277,1000,100,0.01,0.001,1,10,10,best,10,random
6,idID,True,0.2126653223014733,0.0028099047812482378,10,"[0.01534591 0.20622395 0.13622063 0.11558056 0.19907102 0.0103765
 0.13386433 0.01369534 0.01002109 0.15960066]",[ 0  2  3  5 12 19 21 22 26 27],100,35,0.049879,1000,100,0.01,0.001,1,10,10,best,10,random
7,idID,True,0.20850684527535737,0.002804432616336877,10,"[0.01540283 0.20698885 0.13672588 0.11600925 0.19980939 0.01041499
 0.13436084 0.01003709 0.01005826 0.16019263]",[ 0  2  3  5 12 19 21 25 26 27],100,45,0.050331,1000,100,0.01,0.001,1,10,10,best,10,random
8,idID,True,0.19560602530272583,0.0029640936993602447,10,"[0.0172293  0.23153355 0.1529388  0.0111858  0.22350274 0.01165
 0.15029332 0.01122729 0.01125096 0.17918824]",[ 0  2  3  7 12 19 21 25 26 27],100,39,0.05083,1000,100,0.01,0.001,1,10,10,best,10,random
9,idID,True,0.18423249749471332,0.003150705488036679,10,"[0.0200409  0.26931691 0.17789649 0.01301118 0.25997558 0.01355113
 0.01163187 0.01305944 0.01308698 0.20842951]",[ 0  2  3  7 12 19 20 25 26 27],100,32,0.05031,1000,100,0.01,0.001,1,10,10,best,10,random
10,idID,True,0.18378937605022608,0.0031352000186588257,10,"[0.02011232 0.2702767  0.17853048 0.01305755 0.26090208 0.01167333
 0.01003564 0.01310598 0.01313362 0.20917231]",[ 0  2  3  7 12 20 23 25 26 27],100,35,0.050272,1000,100,0.01,0.001,1,10,10,best,10,random
11,TID,True,0.18363519223567065,0.003128503098088835,10,"[0.02011232 0.2702767  0.17853048 0.01305755 0.01       0.26090208
 0.01167333 0.01310598 0.01313362 0.20917231]",[ 0  2  3  7  9 12 20 25 26 27],100,35,0.049481,1000,100,0.01,0.001,1,10,10,best,10,random
12,iDR,True,0.18347155827979675,0.003126134959361189,10,"[0.02014901 0.27076975 0.1770676  0.01308137 0.01001824 0.26137803
 0.01169462 0.01312989 0.01315758 0.20955389]",[ 0  2  3  7  9 12 20 25 26 27],100,40,0.046881,1000,100,0.01,0.001,1,10,10,best,10,random
13,idID,True,0.1807838460255884,0.003208658638621743,10,"[0.02018321 0.27122939 0.17736818 0.01001697 0.01310357 0.01003525
 0.26182172 0.01315218 0.01317991 0.20990961]",[ 0  2  3  4  7  9 12 25 26 27],100,32,0.048852,1000,100,0.01,0.001,1,10,10,best,10,random
14,TID,True,0.17910940470642855,0.0031780963365553383,10,"[0.02018321 0.27122939 0.17736818 0.01001697 0.01310357 0.26182172
 0.01       0.01315218 0.01317991 0.20990961]",[ 0  2  3  4  7 12 15 25 26 27],100,48,0.048809,1000,100,0.01,0.001,1,10,10,best,10,random
15,idID,True,0.1790859918497646,0.0031785857197723566,10,"[0.01998612 0.2712937  0.17741024 0.01001935 0.01310668 0.26188381
 0.01000237 0.0131553  0.01318304 0.20995939]",[ 0  2  3  4  7 12 15 25 26 27],100,48,0.046946,1000,100,0.01,0.001,1,10,10,best,10,random
16,idID,True,0.14660685302378745,0.0029181219937174504,10,"[0.02400476 0.32584319 0.01203396 0.01574206 0.01201072 0.31454123
 0.01201357 0.01580045 0.01583378 0.25217628]",[ 0  2  4  7 11 12 15 25 26 27],100,45,0.048255,1000,100,0.01,0.001,1,10,10,best,10,random
17,idID,True,0.14656642734332587,0.0029180637355158473,10,"[0.02400857 0.32589479 0.01203586 0.01574456 0.01201262 0.31459105
 0.01201547 0.01580296 0.01567792 0.25221621]",[ 0  2  4  7 11 12 15 25 26 27],100,34,0.050191,1000,100,0.01,0.001,1,10,10,best,10,random
18,idID,True,0.14376515026273096,0.002970012132287255,10,"[0.01014208 0.33052497 0.01220686 0.01596825 0.01218329 0.31906063
 0.01218618 0.01602748 0.01590067 0.2557996 ]",[ 1  2  4  7 11 12 15 25 26 27],100,32,0.049706,1000,100,0.01,0.001,1,10,10,best,10,random
19,iDR,True,0.14374039916370346,0.002969889706244678,10,"[0.01004167 0.3305585  0.0122081  0.01596987 0.01218453 0.31909299
 0.01218741 0.0160291  0.01590228 0.25582555]",[ 1  2  4  7 11 12 15 25 26 27],100,31,0.050003,1000,100,0.01,0.001,1,10,10,best,10,random
20,TID,True,0.14370566544117638,0.002969540741442952,10,"[0.01004167 0.3305585  0.0122081  0.01596987 0.01206268 0.31909299
 0.01218741 0.0160291  0.01590228 0.25594739]",[ 1  2  4  7 11 12 15 25 26 27],100,33,0.049211,1000,100,0.01,0.001,1,10,10,best,10,random
21,idID,True,0.1413795007117406,0.002953508282779357,10,"[0.01010129 0.33252113 0.01228059 0.01606469 0.0121343  0.32098755
 0.01225978 0.01005937 0.01612427 0.25746703]",[ 1  2  4  7 11 12 15 21 25 27],100,30,0.049126,1000,100,0.01,0.001,1,10,10,best,10,random
