iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy
0,0.07364225283695507,0.07364225283695507,0.0024925085309999997,[0.       0.       0.043147 0.       0.       0.       0.       0.       0.       0.       0.       0.034438 0.027106 0.040184 0.       0.069003 0.       0.038143 0.063608 0.       0.01987  0.       0.011909 0.       0.       0.       0.038334 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.025836 0.       0.       0.03713  0.       0.       0.       0.       0.       0.       0.       0.       0.028655 0.       0.       0.       0.       0.011442 0.       0.       0.       0.063876 0.       0.       0.       0.069563 0.       0.       0.06093  0.       0.       0.       0.       0.095601 0.       0.       0.       0.       0.       0.       0.077396 0.       0.       0.       0.       0.       0.       0.       0.025161 0.       0.014229 0.       0.       0.       0.       0.       0.       0.03909  0.065349 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
1,0.07321031993076912,0.07321031993076912,0.002464934463,[0.        0.        0.043147  0.        0.        0.        0.        0.        0.        0.        0.        0.034438  0.027106  0.040184  0.        0.069003  0.        0.038143  0.0572472 0.        0.01987   0.        0.011909  0.        0.        0.        0.038334  0.        0.        0.        0.        0.        0.        0.        0.        0.        0.        0.025836  0.        0.        0.03713   0.        0.        0.        0.        0.        0.        0.        0.        0.028655  0.        0.        0.        0.        0.011442  0.        0.        0.        0.063876  0.        0.        0.        0.069563  0.        0.        0.06093   0.        0.        0.        0.        0.1019618 0.        0.        0.        0.        0.        0.        0.077396  0.        0.        0.        0.        0.        0.        0.        0.025161  0.        0.014229  0.        0.        0.        0.        0.        0.        0.03909   0.065349  0.        0.       ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
2,0.07234640528325567,0.07234640528325567,0.0024351121510000004,[0.       0.       0.042712 0.       0.       0.       0.       0.       0.       0.       0.       0.03409  0.026832 0.039778 0.       0.068307 0.       0.037758 0.056669 0.       0.019669 0.       0.011789 0.       0.       0.       0.037947 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.025575 0.       0.       0.036755 0.       0.       0.       0.       0.       0.       0.       0.       0.028366 0.       0.       0.       0.       0.011327 0.       0.       0.       0.063231 0.       0.       0.       0.068861 0.       0.       0.060315 0.       0.       0.       0.       0.111026 0.       0.       0.       0.       0.       0.       0.076615 0.       0.       0.       0.       0.       0.       0.       0.024907 0.       0.014085 0.       0.       0.       0.       0.       0.       0.038695 0.064689 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
3,0.07141951968975782,0.07141951968975782,0.00240300952,[0.       0.       0.042243 0.       0.       0.       0.       0.       0.       0.       0.       0.033716 0.026537 0.039341 0.       0.067557 0.       0.037343 0.056047 0.       0.019453 0.       0.01166  0.       0.       0.       0.03753  0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.025294 0.       0.       0.036351 0.       0.       0.       0.       0.       0.       0.       0.       0.028055 0.       0.       0.       0.       0.011203 0.       0.       0.       0.062537 0.       0.       0.       0.068105 0.       0.       0.059653 0.       0.       0.       0.       0.120788 0.       0.       0.       0.       0.       0.       0.075774 0.       0.       0.       0.       0.       0.       0.       0.024634 0.       0.01393  0.       0.       0.       0.       0.       0.       0.03827  0.063979 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
4,0.07042595990664953,0.07042595990664953,0.0023684898569999993,[0.       0.       0.041739 0.       0.       0.       0.       0.       0.       0.       0.       0.033314 0.02622  0.038871 0.       0.066751 0.       0.036897 0.055378 0.       0.019221 0.       0.011521 0.       0.       0.       0.037082 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.024992 0.       0.       0.035917 0.       0.       0.       0.       0.       0.       0.       0.       0.02772  0.       0.       0.       0.       0.011069 0.       0.       0.       0.061791 0.       0.       0.       0.067292 0.       0.       0.058941 0.       0.       0.       0.       0.131281 0.       0.       0.       0.       0.       0.       0.07487  0.       0.       0.       0.       0.       0.       0.       0.02434  0.       0.013764 0.       0.       0.       0.       0.       0.       0.037813 0.063215 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
5,0.06962998142605908,0.06962998142605908,0.00240532063,[0.       0.       0.041739 0.       0.       0.       0.       0.       0.       0.       0.       0.033314 0.02622  0.038871 0.       0.066751 0.       0.036897 0.055378 0.       0.019221 0.       0.011521 0.       0.       0.       0.037082 0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.024992 0.       0.       0.035917 0.       0.       0.       0.       0.       0.       0.       0.       0.02772  0.       0.       0.       0.       0.       0.       0.       0.       0.061791 0.       0.       0.       0.067292 0.       0.       0.058941 0.       0.       0.       0.       0.131281 0.       0.       0.       0.       0.       0.       0.07487  0.       0.       0.       0.       0.       0.       0.       0.02434  0.       0.013764 0.       0.       0.       0.       0.       0.       0.037813 0.063215 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
6,0.06941812667116853,0.06941812667116853,0.002402258658,[0.       0.       0.041739 0.       0.       0.       0.       0.       0.       0.       0.       0.033314 0.02622  0.038871 0.       0.066751 0.       0.036897 0.055378 0.       0.019221 0.       0.011521 0.       0.       0.       0.037082 0.       0.       0.       0.       0.       0.       0.01     0.       0.       0.       0.027426 0.       0.       0.035917 0.       0.       0.       0.       0.       0.       0.       0.       0.02772  0.       0.       0.       0.       0.       0.       0.       0.       0.061791 0.       0.       0.       0.067292 0.       0.       0.058941 0.       0.       0.       0.       0.131281 0.       0.       0.       0.       0.       0.       0.07487  0.       0.       0.       0.       0.       0.       0.       0.021906 0.       0.013764 0.       0.       0.       0.       0.       0.       0.037813 0.063215 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
7,0.0685724013657361,0.0685724013657361,0.0023704117559,[0.        0.        0.041739  0.        0.        0.        0.        0.        0.        0.        0.        0.033314  0.02622   0.038871  0.        0.0600759 0.        0.036897  0.055378  0.        0.019221  0.        0.011521  0.        0.        0.        0.037082  0.        0.        0.        0.        0.        0.        0.01      0.        0.        0.        0.027426  0.        0.        0.035917  0.        0.        0.        0.        0.        0.        0.        0.        0.02772   0.        0.        0.        0.        0.        0.        0.        0.        0.061791  0.        0.        0.        0.067292  0.        0.        0.058941  0.        0.        0.        0.        0.1379561 0.        0.        0.        0.        0.        0.        0.07487   0.        0.        0.        0.        0.        0.        0.        0.021906  0.        0.013764  0.        0.        0.        0.        0.        0.        0.037813  0.063215  0.        0.       ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
8,0.06841543236098199,0.06841543236098199,0.0023662746410000003,[0.       0.       0.042044 0.       0.       0.       0.       0.       0.       0.       0.       0.033557 0.026411 0.039155 0.       0.060515 0.       0.037166 0.055782 0.       0.019361 0.       0.011605 0.       0.       0.       0.037353 0.       0.       0.       0.       0.       0.       0.010073 0.       0.       0.       0.027626 0.       0.       0.036179 0.       0.       0.       0.       0.       0.       0.       0.       0.027922 0.       0.       0.       0.       0.       0.       0.       0.       0.056018 0.       0.       0.       0.067783 0.       0.       0.059371 0.       0.       0.       0.       0.138963 0.       0.       0.       0.       0.       0.       0.075417 0.       0.       0.       0.       0.       0.       0.       0.022066 0.       0.013865 0.       0.       0.       0.       0.       0.       0.038089 0.063677 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],23.0,500,100,0.1,0.0015,4,23,best,7,first
9,0.06709567665455105,0.06709567665455105,0.0022695851089999997,[0.       0.       0.042044 0.       0.       0.       0.       0.       0.       0.       0.       0.033557 0.026411 0.039155 0.       0.060515 0.       0.037166 0.055782 0.       0.019361 0.       0.010073 0.       0.       0.       0.037353 0.       0.       0.       0.       0.       0.       0.       0.       0.       0.       0.027626 0.       0.       0.036179 0.       0.       0.       0.       0.       0.       0.       0.       0.027922 0.       0.       0.       0.       0.       0.       0.       0.       0.056018 0.       0.       0.       0.067783 0.       0.       0.059371 0.       0.       0.       0.       0.138963 0.       0.       0.       0.       0.       0.       0.075417 0.       0.       0.       0.       0.       0.       0.       0.022066 0.       0.013865 0.       0.       0.       0.       0.       0.       0.038089 0.063677 0.       0.      ],[0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 0. 1. 0. 1. 1. 0. 1. 0. 1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 1. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 1. 0. 1. 0. 0. 0. 0. 0. 0. 1. 1. 0. 0.],22.0,500,100,0.1,0.0015,4,23,best,7,first
