iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,n_port,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z
0,idID,True,0.1918388740777911,0.003147735347,7,7,100,50,0.108513,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.072922, 0.080782, 0.101213, 0.241583, 0.056172, 0.312934, 0.134393]","[0, 5, 7, 8, 13, 15, 26]"
1,iDR,True,0.1900576944566662,0.003241321681,7,7,100,60,0.107529,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.071202, 0.078877, 0.098826, 0.259473, 0.054847, 0.305553, 0.131223]","[0, 5, 7, 8, 13, 15, 26]"
2,idID,True,0.16849035594057948,0.002310828691,7,7,100,56,0.119686,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.518457, 0.040894, 0.051237, 0.134526, 0.028436, 0.158416, 0.068034]","[0, 5, 7, 8, 13, 15, 26]"
3,idID,True,0.163334011878326,0.0022890677010000003,7,7,100,56,0.115379,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.528195, 0.041662, 0.052199, 0.137053, 0.010188, 0.161391, 0.069312]","[0, 5, 7, 8, 14, 15, 26]"
4,TID,True,0.1607722558276262,0.002272103221,7,7,100,64,0.105866,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.528195, 0.041662, 0.052199, 0.137053, 0.161391, 0.069312, 0.01]","[0, 5, 7, 8, 15, 26, 27]"
5,idID,True,0.10875473682556551,0.0023051000839999997,7,7,100,60,0.106282,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.26545, 0.020938, 0.026233, 0.068877, 0.081109, 0.034833, 0.50256]","[0, 5, 7, 8, 15, 26, 27]"
6,idID,True,0.10235148906311356,0.001979518798,7,7,100,41,0.111535,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.282057, 0.022248, 0.027874, 0.086183, 0.010626, 0.037012, 0.534]","[0, 5, 7, 15, 25, 26, 27]"
7,idID,True,0.07911246187108757,0.003378744508,7,7,100,52,0.116682,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.141782, 0.011183, 0.014011, 0.043322, 0.502671, 0.018605, 0.268426]","[0, 5, 7, 15, 25, 26, 27]"
8,TID,True,0.07874533150790029,0.0033785245353000004,7,7,100,45,0.113972,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.141782, 0.011183, 0.012609899999999999, 0.043322, 0.5040721, 0.018605, 0.268426]","[0, 5, 7, 15, 25, 26, 27]"
9,iDR,True,0.07847750345847909,0.003376539894,7,7,100,53,0.128008,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.141961, 0.011197, 0.011363, 0.043377, 0.504709, 0.018628, 0.268765]","[0, 5, 7, 15, 25, 26, 27]"
10,TID,True,0.07767348755941145,0.0033967188744,7,7,100,55,0.123151,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.141961, 0.011197, 0.011363, 0.0390393, 0.5090467, 0.018628, 0.268765]","[0, 5, 7, 15, 25, 26, 27]"
11,iDR,True,0.07705327462212196,0.0033690080100000006,7,7,100,52,0.123203,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.138245, 0.010904, 0.011066, 0.038018, 0.495723, 0.01814, 0.287904]","[0, 5, 7, 15, 25, 26, 27]"
12,idID,True,0.07536970278839233,0.003397884189,7,7,100,66,0.122848,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.126165, 0.011057, 0.011221, 0.038551, 0.502672, 0.018394, 0.29194]","[0, 5, 7, 15, 25, 26, 27]"
13,idID,True,0.054557730657623996,0.0037381257080000003,7,7,100,59,0.127712,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.01251, 0.012696, 0.011314, 0.043618, 0.56874, 0.020812, 0.330311]","[5, 7, 8, 15, 25, 26, 27]"
14,idID,True,0.05384958185438442,0.0037062027190000006,7,7,100,41,0.122936,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.012544, 0.011345, 0.010027, 0.043736, 0.570277, 0.020868, 0.331204]","[5, 8, 10, 15, 25, 26, 27]"
15,iDR,True,0.0533188734828529,0.003707077421,7,7,100,53,0.118093,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.01257, 0.011369, 0.010048, 0.043827, 0.571469, 0.01882, 0.331896]","[5, 8, 10, 15, 25, 26, 27]"
16,TID,True,0.052998154574747755,0.003710891159,7,7,100,52,0.121699,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.011313, 0.011369, 0.010048, 0.043827, 0.572726, 0.01882, 0.331896]","[5, 8, 10, 15, 25, 26, 27]"
17,iDR,True,0.05251618248700175,0.0037116899110000005,7,7,100,48,0.134284,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.011334, 0.01139, 0.010067, 0.04391, 0.573806, 0.01697, 0.332522]","[5, 8, 10, 15, 25, 26, 27]"
18,iDR,True,0.05226227848610698,0.0037139101150000004,7,7,100,46,0.108721,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.010212, 0.011403, 0.010078, 0.04396, 0.574458, 0.016989, 0.3329]","[5, 8, 10, 15, 25, 26, 27]"
19,iDR,True,0.05153105270600132,0.003729680309,7,7,100,58,0.128889,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.010257, 0.011453, 0.010122, 0.039739, 0.576994, 0.017064, 0.33437]","[5, 8, 10, 15, 25, 26, 27]"
20,iDR,True,0.05109004875332818,0.003730446987,7,7,100,64,0.120353,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.010275, 0.011473, 0.010139, 0.039807, 0.577981, 0.015384, 0.334942]","[5, 8, 10, 15, 25, 26, 27]"
21,idID,True,0.0488938786713768,0.0037472209410000005,6,6,100,67,0.182935,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.01038, 0.011591, 0.040215, 0.583901, 0.015542, 0.338372]","[5, 8, 15, 25, 26, 27]"
22,idID,True,0.04647945227013658,0.003768075565000001,5,5,100,58,0.141629,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.011713, 0.040637, 0.590025, 0.015705, 0.341921]","[8, 15, 25, 26, 27]"
23,TID,True,0.0458103359296419,0.0037770035139000004,5,5,100,50,0.136183,100,100,0.1,0.001,1,2,15,best,31,random,bench_local,"[0.011713, 0.0365733, 0.590025, 0.015705, 0.3459847]","[8, 15, 25, 26, 27]"
