iter,obj,aug_obj,return,X,Z,Q,max_iter,neighbours,alpha,exp_return,n_port,k,move_strategy,seed,selection_strategy,tag
0,0.12249020757067211,0.12249020757067211,0.005487469153999999,[0.17690211 0.         0.         0.         0.43878289 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.135583   0.         0.         0.         0.         0.248733   0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
1,0.12236541052852805,0.12236541052852805,0.005487469153999999,[0.17513309 0.         0.         0.         0.43878289 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.135583   0.         0.         0.         0.         0.25050202 0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
2,0.12215519339377036,0.12215519339377036,0.005487469153999999,[0.17513309 0.         0.         0.         0.44013872 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.13422717 0.         0.         0.         0.         0.25050202 0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
3,0.12187617613175597,0.12187617613175597,0.005487469153999999,[0.17513309 0.         0.         0.         0.44264374 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.13422717 0.         0.         0.         0.         0.247997   0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
4,0.12166675551449838,0.12166675551449838,0.005487469153999999,[0.17513309 0.         0.         0.         0.44398601 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.1328849  0.         0.         0.         0.         0.247997   0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
5,0.12134586600633461,0.12134586600633461,0.005487469153999999,[0.17338176 0.         0.         0.         0.44573734 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.1328849  0.         0.         0.         0.         0.247997   0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
6,0.121065700971762,0.121065700971762,0.005487469153999999,[0.17338176 0.         0.         0.         0.44821731 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.1328849  0.         0.         0.         0.         0.24551703 0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
7,0.1207456916707014,0.1207456916707014,0.005487469153999999,[0.17164794 0.         0.         0.         0.44995113 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.1328849  0.         0.         0.         0.         0.24551703 0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
8,0.1204268902624116,0.1204268902624116,0.005487469153999999,[0.16993146 0.         0.         0.         0.45166761 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.1328849  0.         0.         0.         0.         0.24551703 0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
9,0.12010932431274968,0.12010932431274968,0.005487469153999999,[0.16823215 0.         0.         0.         0.45336692 0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.         0.1328849  0.         0.         0.         0.         0.24551703 0.         0.         0.         0.         0.         0.         0.         0.         0.        ],[1. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 0. 0. 0. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.],4.0,1000,100,0.01,0.004,1,4,TID,,best,single_objective
