iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z,gls_iter,gls_improve
0,TID,True,0.011635645889909424,0.007021739831299998,5,5,100,81,0.052824,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.010031, 0.010031, 0.01]","[4, 8, 25, 27, 29]",0,False
1,iDR,False,0.011635645889909424,0.007021739831299998,5,5,100,88,0.053787,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.010031, 0.010031, 0.01]","[4, 8, 25, 27, 29]",0,False
2,TID,True,0.011591593370670826,0.0070046298312999985,5,5,100,86,0.053394,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 16, 25, 27]",0,False
3,TID,True,0.011497450160326427,0.007020599831299999,5,5,100,95,0.054928,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
4,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,81,0.053837,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
5,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,88,0.055232,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
6,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,86,0.054551,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
7,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,89,0.055379,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
8,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,90,0.053624,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
9,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,87,0.053376,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
10,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,89,0.057148,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
11,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,88,0.054097,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
12,iDR,False,0.011497450160326427,0.007020599831299999,5,5,100,89,0.052842,100,100,0.1,0.003,5,15,best,,best,gls,"[0.01, 0.9587672199999999, 0.01, 0.010031, 0.010031]","[4, 8, 21, 25, 27]",0,False
