iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,selection_strategy,tag,X,Z,gls_iter,gls_improve
0,idID,True,0.119682,0.0028269969130000003,6,6,1000,672,0.233117,100,1000,0.1,0.001,5,15,random,random,gls,"[0.098098, 0.085469, 0.116839, 0.08683, 0.092675, 0.520089]","[12, 14, 15, 18, 23, 27]",0,True
1,iDR,True,0.114689,0.002802820049,6,6,1000,1000,0.241559,100,1000,0.1,0.001,5,15,random,random,gls,"[0.093248, 0.081244, 0.111063, 0.082537, 0.088093, 0.543815]","[12, 14, 15, 18, 23, 27]",0,True
2,idID,True,0.11368,0.002832711588,6,6,1000,659,0.210464,100,1000,0.1,0.001,5,15,random,random,gls,"[0.094295, 0.082156, 0.101079, 0.083464, 0.089082, 0.549923]","[12, 14, 15, 18, 23, 27]",0,True
3,TID,True,0.112306,0.0028080396296,6,6,1000,425,0.170799,100,1000,0.1,0.001,5,15,random,random,gls,"[0.094295, 0.082156, 0.101079, 0.07511759999999999, 0.089082, 0.5582694]","[12, 14, 15, 18, 23, 27]",0,True
4,iDR,True,0.111759,0.0027892288389999996,6,6,1000,1000,0.228021,100,1000,0.1,0.001,5,15,random,random,gls,"[0.095009, 0.082778, 0.101844, 0.068118, 0.089756, 0.562495]","[12, 14, 15, 18, 23, 27]",0,True
5,TID,True,0.109649,0.0027687924030999995,6,6,1000,450,0.167986,100,1000,0.1,0.001,5,15,random,random,gls,"[0.0855081, 0.082778, 0.101844, 0.068118, 0.089756, 0.5719959]","[12, 14, 15, 18, 23, 27]",0,True
6,idID,True,0.108182,0.002759074955,6,6,1000,647,0.200534,100,1000,0.1,0.001,5,15,random,random,gls,"[0.086283, 0.083528, 0.102766, 0.068735, 0.081512, 0.577176]","[12, 14, 15, 18, 23, 27]",0,True
7,TID,True,0.107534,0.0028692812134,7,7,1000,443,0.172285,100,1000,0.1,0.001,5,15,random,random,gls,"[0.0102766, 0.086283, 0.083528, 0.0924894, 0.068735, 0.081512, 0.577176]","[4, 12, 14, 15, 18, 23, 27]",0,True
8,idID,True,0.10656,0.002894756231,7,7,1000,379,0.179875,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010373, 0.087088, 0.084308, 0.084018, 0.069377, 0.082273, 0.582564]","[4, 12, 14, 15, 18, 23, 27]",0,True
9,iDR,True,0.105193,0.002885691457,7,7,1000,927,0.221305,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010461, 0.087828, 0.076522, 0.084732, 0.069967, 0.082972, 0.587517]","[4, 12, 14, 15, 18, 23, 27]",0,True
10,iDR,True,0.104614,0.0028687280829999997,7,7,1000,933,0.217242,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010535, 0.088447, 0.077061, 0.085329, 0.063414, 0.083557, 0.591657]","[4, 12, 14, 15, 18, 23, 27]",0,True
11,iDR,True,0.103659,0.002892206473,7,7,1000,930,0.216932,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010626, 0.089208, 0.077724, 0.077457, 0.06396, 0.084276, 0.596749]","[4, 12, 14, 15, 18, 23, 27]",0,True
12,iDR,True,0.102424,0.002877841788,7,7,1000,1000,0.28199,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010722, 0.08101, 0.078424, 0.078154, 0.064536, 0.085035, 0.60212]","[4, 12, 14, 15, 18, 23, 27]",0,True
13,iDR,True,0.101259,0.002864680064,7,7,1000,1000,0.222001,100,1000,0.1,0.001,5,15,random,random,gls,"[0.01081, 0.073504, 0.079064, 0.078792, 0.065063, 0.085729, 0.607037]","[4, 12, 14, 15, 18, 23, 27]",0,True
14,iDR,True,0.100167,0.002852660654,7,7,1000,1000,0.21736,100,1000,0.1,0.001,5,15,random,random,gls,"[0.01089, 0.066644, 0.07965, 0.079376, 0.065545, 0.086364, 0.611533]","[4, 12, 14, 15, 18, 23, 27]",0,True
15,iDR,True,0.095086,0.0028229951059999996,7,7,1000,1000,0.219968,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010262, 0.062803, 0.07506, 0.074801, 0.061768, 0.081387, 0.633919]","[4, 12, 14, 15, 18, 23, 27]",0,True
16,idID,True,0.094081,0.0028124621929999996,7,7,1000,392,0.179239,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010327, 0.05688, 0.075534, 0.075274, 0.062158, 0.081901, 0.637925]","[4, 12, 14, 15, 18, 23, 27]",0,True
17,TID,True,0.094036,0.0028115708917999995,7,7,1000,399,0.166929,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010327, 0.05688, 0.0679806, 0.075274, 0.062158, 0.0894544, 0.637925]","[4, 12, 14, 15, 18, 23, 27]",0,True
18,iDR,True,0.093067,0.0028318193679999996,7,7,1000,925,0.217217,100,1000,0.1,0.001,5,15,random,random,gls,"[0.010405, 0.057311, 0.068496, 0.06826, 0.062629, 0.090133, 0.642764]","[4, 12, 14, 15, 18, 23, 27]",0,True
19,idID,True,0.083082,0.006827402219,7,7,1000,368,0.182523,100,1000,0.1,0.001,5,15,random,random,gls,"[0.502615, 0.028805, 0.034427, 0.034309, 0.031478, 0.045302, 0.323063]","[4, 12, 14, 15, 18, 23, 27]",0,True
20,iDR,True,0.082067,0.006686913675,7,7,1000,1000,0.225104,100,1000,0.1,0.001,5,15,random,random,gls,"[0.486886, 0.027904, 0.03335, 0.033235, 0.030493, 0.043884, 0.344248]","[4, 12, 14, 15, 18, 23, 27]",0,True
21,iDR,True,0.08125,0.006699450772,7,7,1000,1000,0.22351,100,1000,0.1,0.001,5,15,random,random,gls,"[0.489032, 0.028027, 0.033497, 0.033381, 0.030627, 0.03967, 0.345765]","[4, 12, 14, 15, 18, 23, 27]",0,True
22,idID,True,0.080638,0.006705669817000001,7,7,1000,687,0.199007,100,1000,0.1,0.001,5,15,random,random,gls,"[0.490407, 0.025295, 0.033591, 0.033475, 0.030713, 0.039782, 0.346737]","[4, 12, 14, 15, 18, 23, 27]",0,True
23,iDR,True,0.079996,0.006714927966,7,7,1000,1000,0.220789,100,1000,0.1,0.001,5,15,random,random,gls,"[0.49206, 0.02538, 0.030334, 0.033588, 0.030817, 0.039916, 0.347906]","[4, 12, 14, 15, 18, 23, 27]",0,True
24,iDR,True,0.078901,0.006567767664,7,7,1000,1000,0.217052,100,1000,0.1,0.001,5,15,random,random,gls,"[0.475516, 0.024527, 0.029314, 0.032459, 0.029781, 0.038574, 0.36983]","[4, 12, 14, 15, 18, 23, 27]",0,True
25,iDR,True,0.07836,0.006572877321,7,7,1000,1000,0.234547,100,1000,0.1,0.001,5,15,random,random,gls,"[0.476685, 0.022129, 0.029386, 0.032539, 0.029854, 0.038669, 0.370739]","[4, 12, 14, 15, 18, 23, 27]",0,True
26,iDR,True,0.077917,0.006593867940999998,7,7,1000,1000,0.219764,100,1000,0.1,0.001,5,15,random,random,gls,"[0.478241, 0.022201, 0.029482, 0.029381, 0.029951, 0.038795, 0.371949]","[4, 12, 14, 15, 18, 23, 27]",0,True
27,iDR,True,0.07671,0.006441254409,7,7,1000,1000,0.223688,100,1000,0.1,0.001,5,15,random,random,gls,"[0.461091, 0.021405, 0.028425, 0.028327, 0.028877, 0.037404, 0.394472]","[4, 12, 14, 15, 18, 23, 27]",0,True
28,TID,True,0.076223,0.0064716322838,7,7,1000,427,0.171233,100,1000,0.1,0.001,5,15,random,random,gls,"[0.4639237, 0.021405, 0.028425, 0.0254943, 0.028877, 0.037404, 0.394472]","[4, 12, 14, 15, 18, 23, 27]",0,True
29,TID,True,0.075373,0.0064660067222,7,7,1000,400,0.157743,100,1000,0.1,0.001,5,15,random,random,gls,"[0.4639237, 0.021405, 0.028425, 0.0254943, 0.028877, 0.0336636, 0.39821239999999997]","[4, 12, 14, 15, 18, 23, 27]",0,True
30,idID,True,0.074805,0.0064731455629999995,7,7,1000,676,0.209856,100,1000,0.1,0.001,5,15,random,random,gls,"[0.465246, 0.021466, 0.025655, 0.025567, 0.028959, 0.03376, 0.399347]","[4, 12, 14, 15, 18, 23, 27]",0,True
31,idID,True,0.074138,0.006482060547,7,7,1000,668,0.193708,100,1000,0.1,0.001,5,15,random,random,gls,"[0.466822, 0.021539, 0.025742, 0.025654, 0.029057, 0.030487, 0.4007]","[4, 12, 14, 15, 18, 23, 27]",0,True
32,idID,True,0.073528,0.006490128700000001,7,7,1000,660,0.193629,100,1000,0.1,0.001,5,15,random,random,gls,"[0.468249, 0.021605, 0.025821, 0.025732, 0.029146, 0.027522, 0.401925]","[4, 12, 14, 15, 18, 23, 27]",0,True
33,TID,True,0.073349,0.006480734846000001,7,7,1000,423,0.168687,100,1000,0.1,0.001,5,15,random,random,gls,"[0.468249, 0.0194445, 0.025821, 0.0278925, 0.029146, 0.027522, 0.401925]","[4, 12, 14, 15, 18, 23, 27]",0,True
34,idID,True,0.072792,0.006488008968,7,7,1000,500,0.180592,100,1000,0.1,0.001,5,15,random,random,gls,"[0.469541, 0.019498, 0.025892, 0.027969, 0.029226, 0.024838, 0.403034]","[4, 12, 14, 15, 18, 23, 27]",0,True
