iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z,gls_iter,gls_improve
0,iDR,False,0.008910041193682704,0.010537257918000002,5,5,100,85,0.054651,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.010895, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
1,iDR,False,0.008910041193682704,0.010537257918000002,5,5,100,89,0.056219,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.010895, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
2,iDR,False,0.008910041193682704,0.010537257918000002,5,5,100,89,0.054568,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.010895, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
3,TID,True,0.008815603547253184,0.010572624683000001,5,5,100,90,0.055884,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.010073, 0.010073, 0.01, 0.01003]","[4, 25, 27, 28, 30]",0,False
4,TID,True,0.008714513737880425,0.010535384683000002,5,5,100,90,0.052254,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
5,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,89,0.051203,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
6,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,91,0.052353,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
7,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,84,0.050459,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
8,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,87,0.050166,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
9,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,86,0.052288,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
10,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,93,0.051703,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
11,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,88,0.050692,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
12,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,92,0.05495,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
13,iDR,False,0.008714513737880425,0.010535384683000002,5,5,100,95,0.051852,100,100,0.1,0.003,5,15,best,,best,gls,"[0.958928, 0.01, 0.010073, 0.010073, 0.01003]","[4, 10, 25, 27, 30]",0,False
