iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z,gls_iter,gls_improve
0,TID,True,0.008242008078608387,0.004847277779320001,5,5,100,90,0.067226,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 14, 25, 27]",0,False
1,TID,True,0.00821454247161629,0.004810497779320001,5,5,100,91,0.058195,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
2,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,92,0.052609,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
3,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,86,0.051361,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
4,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,87,0.055923,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
5,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,91,0.058806,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
6,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,89,0.052528,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
7,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,87,0.054001,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
8,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,82,0.052902,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
9,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,91,0.052236,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
10,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,90,0.050854,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
11,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,94,0.053699,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
12,iDR,False,0.00821454247161629,0.004810497779320001,5,5,100,95,0.05478,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",0,False
0,TID,True,0.00895753977542386,0.004810497779320001,5,5,100,92,0.056487,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
1,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,91,0.052987,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
2,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,93,0.053416,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
3,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,88,0.052592,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
4,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,88,0.053282,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
5,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,96,0.05323,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
6,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,90,0.061732,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
7,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,85,0.053579,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
8,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,91,0.051427,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
9,iDR,False,0.00895753977542386,0.004810497779320001,5,5,100,85,0.052803,100,100,0.1,0.003,5,15,best,,best,gls,"[0.010581435, 0.010064, 0.01, 0.9592085650000001, 0.010102]","[4, 8, 16, 25, 27]",1,False
