iter,move,improve,obj,return,n_assets,qX,qN,qNv,iter_time,max_iter,neighbours,alpha,exp_return,k_min,k_max,move_strategy,seed,selection_strategy,tag,X,Z,gls_iter,gls_improve
0,idID,False,0.014317742442073886,0.010551244267,5,5,100,2,0.017993,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
1,idID,False,0.014317742442073886,0.010551244267,5,5,100,7,0.019002,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
2,idID,False,0.014317742442073886,0.010551244267,5,5,100,5,0.017619,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
3,idID,False,0.014317742442073886,0.010551244267,5,5,100,8,0.017999,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
4,idID,False,0.014317742442073886,0.010551244267,5,5,100,8,0.018382,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
5,idID,False,0.014317742442073886,0.010551244267,5,5,100,11,0.018807,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
6,idID,False,0.014317742442073886,0.010551244267,5,5,100,9,0.018735,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
7,idID,False,0.014317742442073886,0.010551244267,5,5,100,12,0.018073,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
8,idID,False,0.014317742442073886,0.010551244267,5,5,100,8,0.016588,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
9,idID,False,0.014317742442073886,0.010551244267,5,5,100,6,0.016623,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
10,idID,False,0.014317742442073886,0.010551244267,5,5,100,7,0.018526,100,100,0.1,0.003,5,15,idID,,best,gls,"[0.010294, 0.958155, 0.010204, 0.01055, 0.010797]","[3, 4, 10, 12, 30]",0,False
